주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,7672.0,7993.0,6119.0,5149.0,5376.0,,,
영업이익,119.0,111.0,58.0,110.0,149.0,,,
영업이익(발표기준),119.0,111.0,58.0,110.0,149.0,,,
세전계속사업이익,141.0,276.0,91.0,110.0,176.0,,,
당기순이익,103.0,234.0,72.0,86.0,137.0,,,
당기순이익(지배),103.0,234.0,72.0,86.0,137.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3555.0,3781.0,3342.0,3602.0,3894.0,,,
부채총계,2168.0,2217.0,1746.0,1974.0,2184.0,,,
자본총계,1387.0,1565.0,1595.0,1628.0,1710.0,,,
자본총계(지배),1387.0,1565.0,1595.0,1628.0,1710.0,,,
자본총계(비지배),,,,,,,,
자본금,200.0,219.0,219.0,219.0,219.0,,,
영업활동현금흐름,137.0,115.0,201.0,505.0,222.0,,,
투자활동현금흐름,-107.0,281.0,-152.0,-116.0,-54.0,,,
재무활동현금흐름,-45.0,-51.0,-59.0,-70.0,-71.0,,,
CAPEX,124.0,131.0,133.0,141.0,170.0,,,
FCF,13.0,-16.0,69.0,364.0,52.0,,,
이자발생부채,216.0,219.0,217.0,202.0,186.0,,,
영업이익률,1.56,1.39,0.95,2.13,2.77,,,
순이익률,1.34,2.93,1.17,1.67,2.55,,,
ROE(%),7.59,15.87,4.53,5.33,8.22,,,
ROA(%),2.85,6.39,2.01,2.48,3.66,,,
부채비율,156.31,141.67,109.47,121.25,127.7,,,
자본유보율,621.14,640.59,654.61,668.74,706.43,,,
EPS(원),2351.0,5354.0,1636.0,1964.0,3138.0,,,
PER(배),10.42,6.16,20.08,15.76,9.48,,,
BPS(원),33642.0,37960.0,38703.0,39501.0,41492.0,,,
PBR(배),0.73,0.87,0.85,0.78,0.72,,,
현금DPS(원),1143.0,1250.0,1250.0,1250.0,1250.0,,,
현금배당수익률,4.66,3.79,3.81,4.04,4.2,,,
현금배당성향(%),45.54,22.0,71.98,59.97,37.53,,,
발행주식수(보통주),4374754.0,4374754.0,4374754.0,4374754.0,4374754.0,,,
