주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,311.0,355.0,455.0,649.0,672.0,,,
영업이익,-1.0,20.0,48.0,63.0,29.0,,,
영업이익(발표기준),-1.0,20.0,48.0,63.0,29.0,,,
세전계속사업이익,-23.0,72.0,29.0,92.0,43.0,,,
당기순이익,-23.0,78.0,20.0,96.0,44.0,,,
당기순이익(지배),-23.0,78.0,20.0,96.0,44.0,,,
당기순이익(비지배),,,,,,,,
자산총계,404.0,469.0,502.0,666.0,699.0,,,
부채총계,150.0,137.0,155.0,226.0,224.0,,,
자본총계,254.0,331.0,347.0,440.0,475.0,,,
자본총계(지배),254.0,331.0,347.0,440.0,475.0,,,
자본총계(비지배),,,,,,,,
자본금,23.0,23.0,23.0,23.0,23.0,,,
영업활동현금흐름,-31.0,-2.0,72.0,110.0,-6.0,,,
투자활동현금흐름,2.0,1.0,-66.0,-146.0,16.0,,,
재무활동현금흐름,30.0,,-8.0,40.0,-8.0,,,
CAPEX,4.0,10.0,8.0,38.0,26.0,,,
FCF,-35.0,-12.0,64.0,73.0,-32.0,,,
이자발생부채,70.0,70.0,62.0,102.0,98.0,,,
영업이익률,-0.3,5.64,10.65,9.69,4.33,,,
순이익률,-7.53,22.02,4.37,14.8,6.59,,,
ROE(%),-8.83,26.65,5.85,24.42,9.68,,,
ROA(%),-6.0,17.89,4.09,16.46,6.49,,,
부채비율,58.76,41.49,44.52,51.39,47.07,,,
자본유보율,1084.48,1426.76,1495.12,1906.71,2060.42,,,
EPS(원),-517.0,1723.0,438.0,2122.0,978.0,,,
PER(배),-6.37,4.64,77.17,12.89,49.41,,,
BPS(원),7019.0,9141.0,9583.0,12141.0,13103.0,,,
PBR(배),0.47,0.87,3.53,2.25,3.69,,,
현금DPS(원),0.0,0.0,0.0,100.0,100.0,,,
현금배당수익률,0.0,0.0,0.0,0.37,0.21,,,
현금배당성향(%),0.0,0.0,0.0,3.77,8.18,,,
발행주식수(보통주),4532000.0,4532000.0,4532000.0,4532000.0,4532000.0,,,
