주요재무정보,2014/03(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,217.0,178.0,242.0,189.0,188.0,,,
영업이익,62.0,64.0,106.0,63.0,73.0,,,
영업이익(발표기준),62.0,64.0,106.0,63.0,73.0,,,
세전계속사업이익,159.0,105.0,133.0,96.0,99.0,,,
당기순이익,125.0,82.0,105.0,77.0,79.0,,,
당기순이익(지배),125.0,82.0,105.0,77.0,79.0,,,
당기순이익(비지배),0.0,0.0,,,,,,
자산총계,6112.0,6416.0,6082.0,6308.0,6356.0,,,
부채총계,1502.0,1753.0,1389.0,1732.0,1762.0,,,
자본총계,4610.0,4663.0,4694.0,4576.0,4594.0,,,
자본총계(지배),4610.0,4663.0,4694.0,4576.0,4594.0,,,
자본총계(비지배),0.0,0.0,,,,,,
자본금,742.0,742.0,742.0,742.0,742.0,,,
영업활동현금흐름,7.0,169.0,20.0,105.0,-103.0,,,
투자활동현금흐름,421.0,486.0,-137.0,-135.0,288.0,,,
재무활동현금흐름,-500.0,-228.0,-322.0,207.0,-66.0,,,
CAPEX,3.0,0.0,1.0,2.0,2.0,,,
FCF,,,,,,,,
이자발생부채,0.0,0.0,0.0,0.0,0.0,,,
영업이익률,28.55,35.74,43.87,33.09,38.5,,,
순이익률,57.76,46.15,43.37,40.51,41.84,,,
ROE(%),2.7,1.77,2.24,1.65,1.72,,,
ROA(%),1.98,1.31,1.68,1.24,1.24,,,
부채비율,32.58,37.6,29.58,37.85,38.35,,,
자본유보율,541.72,548.87,556.38,558.87,561.18,,,
EPS(원),845.0,553.0,707.0,516.0,531.0,,,
PER(배),14.2,27.47,21.21,29.75,29.93,,,
BPS(원),34219.0,34613.0,35270.0,36831.0,36934.0,,,
PBR(배),0.35,0.44,0.43,0.42,0.43,,,
현금DPS(원),600.0,450.0,700.0,850.0,600.0,,,
현금배당수익률,5.0,2.96,4.67,5.54,3.77,,,
현금배당성향(%),65.67,75.71,90.92,139.95,96.64,,,
발행주식수(보통주),11340483.0,11340483.0,11340483.0,11340483.0,11340483.0,,,
