주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,8366.0,8119.0,9567.0,10502.0,10465.0,,,
영업이익,-13.0,15.0,43.0,23.0,44.0,,,
영업이익(발표기준),-13.0,15.0,43.0,23.0,44.0,,,
세전계속사업이익,20.0,45.0,43.0,-6.0,19.0,,,
당기순이익,13.0,33.0,27.0,-9.0,13.0,,,
당기순이익(지배),13.0,33.0,8.0,-32.0,8.0,,,
당기순이익(비지배),,,19.0,22.0,6.0,,,
자산총계,2281.0,2170.0,4194.0,4103.0,4290.0,,,
부채총계,1722.0,1562.0,3282.0,3260.0,3458.0,,,
자본총계,558.0,608.0,913.0,843.0,832.0,,,
자본총계(지배),558.0,608.0,612.0,561.0,594.0,,,
자본총계(비지배),,,301.0,282.0,238.0,,,
자본금,163.0,163.0,163.0,163.0,163.0,,,
영업활동현금흐름,56.0,-27.0,293.0,-46.0,381.0,,,
투자활동현금흐름,286.0,-155.0,-472.0,-217.0,-331.0,,,
재무활동현금흐름,-20.0,-117.0,496.0,-36.0,-6.0,,,
CAPEX,71.0,177.0,161.0,182.0,305.0,,,
FCF,-15.0,-204.0,132.0,-228.0,77.0,,,
이자발생부채,,,640.0,632.0,650.0,,,
영업이익률,-0.15,0.18,0.45,0.22,0.42,,,
순이익률,0.16,0.41,0.28,-0.09,0.13,,,
ROE(%),2.38,5.69,,-5.39,1.31,,,
ROA(%),0.57,1.49,,-0.22,0.32,,,
부채비율,308.41,256.92,359.59,386.71,415.59,,,
자본유보율,245.82,180.43,172.2,150.97,154.27,,,
EPS(원),40.0,102.0,23.0,-97.0,23.0,,,
PER(배),45.23,26.21,77.52,-18.2,60.87,,,
BPS(원),1726.0,1879.0,1891.0,1734.0,1836.0,,,
PBR(배),1.06,1.42,0.96,1.02,0.77,,,
현금DPS(원),388.0,40.0,20.0,0.0,,,,
현금배당수익률,21.18,1.5,1.1,0.0,,,,
현금배당성향(%),951.88,39.02,85.12,0.0,0.0,,,
발행주식수(보통주),32564980.0,32564980.0,32564980.0,32564980.0,32564980.0,,,
