주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,442.0,439.0,361.0,388.0,442.0,,,
영업이익,-6.0,-22.0,-74.0,-1.0,-13.0,,,
영업이익(발표기준),-6.0,-22.0,-74.0,-1.0,-13.0,,,
세전계속사업이익,-25.0,-38.0,-80.0,-4.0,-32.0,,,
당기순이익,-25.0,-38.0,-80.0,-4.0,-32.0,,,
당기순이익(지배),-25.0,-38.0,-80.0,-4.0,-32.0,,,
당기순이익(비지배),,,,,,,,
자산총계,680.0,771.0,693.0,682.0,643.0,,,
부채총계,617.0,676.0,609.0,605.0,604.0,,,
자본총계,63.0,94.0,83.0,77.0,39.0,,,
자본총계(지배),63.0,94.0,83.0,77.0,39.0,,,
자본총계(비지배),,,,,,,,
자본금,116.0,116.0,143.0,143.0,48.0,,,
영업활동현금흐름,20.0,-1.0,-1.0,20.0,32.0,,,
투자활동현금흐름,-18.0,-21.0,22.0,-21.0,-16.0,,,
재무활동현금흐름,-4.0,19.0,-16.0,-6.0,-13.0,,,
CAPEX,28.0,21.0,15.0,23.0,21.0,,,
FCF,-7.0,-22.0,-16.0,-3.0,12.0,,,
이자발생부채,441.0,461.0,401.0,394.0,378.0,,,
영업이익률,-1.35,-5.07,-20.59,-0.15,-2.87,,,
순이익률,-5.73,-8.55,-22.31,-0.93,-7.14,,,
ROE(%),-34.44,-47.88,-90.55,-4.51,-54.17,,,
ROA(%),-3.7,-5.18,-11.0,-0.53,-4.76,,,
부채비율,984.53,717.25,730.2,786.11,1529.94,,,
자본유보율,-45.13,-77.48,-112.46,-114.45,-215.51,,,
EPS(원),-654.0,-970.0,-1977.0,-76.0,-663.0,,,
PER(배),-5.86,-3.17,-2.21,-63.82,-7.72,,,
BPS(원),1618.0,2435.0,1754.0,1618.0,830.0,,,
PBR(배),2.37,1.27,2.49,3.0,6.17,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),3872600.0,3872600.0,4757940.0,4757940.0,4757940.0,,,
