주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3877.0,4507.0,4611.0,4367.0,4381.0,,,
영업이익,172.0,81.0,62.0,132.0,111.0,,,
영업이익(발표기준),172.0,81.0,62.0,132.0,111.0,,,
세전계속사업이익,180.0,119.0,192.0,127.0,106.0,,,
당기순이익,138.0,94.0,150.0,100.0,83.0,,,
당기순이익(지배),138.0,94.0,150.0,100.0,83.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1816.0,2162.0,2113.0,2214.0,2238.0,,,
부채총계,500.0,683.0,555.0,641.0,626.0,,,
자본총계,1316.0,1480.0,1558.0,1573.0,1612.0,,,
자본총계(지배),1316.0,1480.0,1558.0,1573.0,1612.0,,,
자본총계(비지배),,,,,,,,
자본금,174.0,174.0,174.0,174.0,174.0,,,
영업활동현금흐름,131.0,-131.0,65.0,193.0,152.0,,,
투자활동현금흐름,-235.0,257.0,-140.0,-195.0,144.0,,,
재무활동현금흐름,-37.0,105.0,-72.0,-40.0,-27.0,,,
CAPEX,14.0,24.0,547.0,23.0,17.0,,,
FCF,117.0,-154.0,-482.0,170.0,135.0,,,
이자발생부채,,,,,,,,
영업이익률,4.42,1.79,1.35,3.02,2.53,,,
순이익률,3.57,2.09,3.26,2.29,1.9,,,
ROE(%),10.81,6.73,9.9,6.38,5.23,,,
ROA(%),7.7,4.73,7.04,4.62,3.74,,,
부채비율,37.97,46.13,35.62,40.75,38.8,,,
자본유보율,731.95,759.51,815.9,841.77,863.22,,,
EPS(원),397.0,270.0,432.0,287.0,240.0,,,
PER(배),12.81,12.78,11.01,12.89,12.61,,,
BPS(원),4272.0,4252.0,4586.0,4650.0,4767.0,,,
PBR(배),1.19,0.81,1.04,0.8,0.63,,,
현금DPS(원),120.0,120.0,100.0,80.0,80.0,,,
현금배당수익률,2.36,3.47,2.1,2.16,2.65,,,
현금배당성향(%),26.73,44.39,22.59,27.09,32.46,,,
발행주식수(보통주),34802000.0,34802000.0,34802000.0,34802000.0,34802000.0,,,
