주요재무정보,2013(GAAP개별),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1703.0,2052.0,2199.0,2331.0,2057.0,2065.0,2560.0,3000.0
영업이익,194.0,149.0,174.0,176.0,-19.0,72.0,80.0,110.0
영업이익(발표기준),194.0,149.0,174.0,176.0,-19.0,,,
세전계속사업이익,198.0,149.0,193.0,181.0,-38.0,110.0,80.0,90.0
당기순이익,187.0,116.0,134.0,129.0,-55.0,66.0,60.0,70.0
당기순이익(지배),187.0,116.0,134.0,129.0,-55.0,70.0,60.0,70.0
당기순이익(비지배),,,,,,,,
자산총계,782.0,973.0,1556.0,1819.0,1997.0,2150.0,2290.0,2510.0
부채총계,416.0,477.0,386.0,548.0,855.0,940.0,1040.0,1190.0
자본총계,366.0,496.0,1170.0,1271.0,1142.0,1210.0,1260.0,1320.0
자본총계(지배),366.0,496.0,1170.0,1271.0,1142.0,1210.0,1250.0,1310.0
자본총계(비지배),,,,,,,,
자본금,20.0,20.0,24.0,35.0,35.0,40.0,40.0,40.0
영업활동현금흐름,166.0,144.0,-10.0,15.0,-19.0,-110.0,20.0,0.0
투자활동현금흐름,-47.0,-159.0,-208.0,-6.0,-520.0,-70.0,10.0,-70.0
재무활동현금흐름,-46.0,15.0,474.0,-36.0,408.0,40.0,-10.0,80.0
CAPEX,25.0,96.0,94.0,110.0,324.0,40.0,20.0,20.0
FCF,141.0,49.0,-104.0,-95.0,-343.0,,,
이자발생부채,45.0,100.0,40.0,40.0,411.0,,,
영업이익률,11.38,7.25,7.93,7.57,-0.93,3.46,3.13,3.67
순이익률,11.0,5.66,6.11,5.53,-2.68,3.2,2.34,2.33
ROE(%),65.22,26.94,,10.57,-4.56,5.95,4.88,5.47
ROA(%),26.92,13.23,,7.65,-2.89,3.18,2.7,2.92
부채비율,113.71,96.16,32.95,43.09,74.86,77.69,82.54,90.15
자본유보율,1729.54,2381.27,4875.76,3508.15,3241.31,,,
EPS(원),1249.0,774.0,825.0,731.0,-312.0,397.0,340.0,397.0
PER(배),,,30.6,31.11,-56.71,37.8,44.1,37.8
BPS(원),2439.0,3308.0,6634.0,7206.0,6529.0,6919.0,7148.0,7491.0
PBR(배),0.0,0.0,3.8,3.16,2.71,2.17,2.1,2.0
현금DPS(원),267.0,133.0,200.0,230.0,50.0,50.0,50.0,50.0
현금배당수익률,,,0.79,1.01,0.28,0.33,0.33,0.33
현금배당성향(%),21.35,17.22,26.25,31.45,-5.29,0.13,0.15,0.13
발행주식수(보통주),15000000.0,15000000.0,17640000.0,17640000.0,17640000.0,,,
