주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,7214.0,6521.0,9064.0,10690.0,12075.0,13070.0,14139.0,15324.0
영업이익,227.0,82.0,87.0,214.0,298.0,365.0,438.0,501.0
영업이익(발표기준),227.0,82.0,87.0,214.0,298.0,,,
세전계속사업이익,246.0,72.0,79.0,181.0,253.0,325.0,401.0,464.0
당기순이익,193.0,42.0,67.0,143.0,206.0,250.0,310.0,358.0
당기순이익(지배),193.0,42.0,67.0,143.0,206.0,251.0,311.0,363.0
당기순이익(비지배),,,,,,,,
자산총계,2867.0,3825.0,5033.0,5562.0,5954.0,6532.0,6956.0,7491.0
부채총계,676.0,970.0,2161.0,2590.0,2803.0,3172.0,3355.0,3551.0
자본총계,2190.0,2855.0,2871.0,2972.0,3151.0,3368.0,3645.0,3941.0
자본총계(지배),2190.0,2855.0,2871.0,2972.0,3151.0,3368.0,3645.0,3941.0
자본총계(비지배),,,,,,,,
자본금,171.0,194.0,194.0,194.0,194.0,191.0,191.0,191.0
영업활동현금흐름,517.0,407.0,127.0,213.0,836.0,566.0,754.0,835.0
투자활동현금흐름,-250.0,-315.0,-1124.0,-423.0,-406.0,-627.0,-487.0,-473.0
재무활동현금흐름,-26.0,-305.0,964.0,166.0,61.0,228.0,-50.0,-36.0
CAPEX,156.0,236.0,929.0,485.0,471.0,613.0,487.0,469.0
FCF,361.0,171.0,-802.0,-272.0,365.0,-105.0,215.0,335.0
이자발생부채,,,1066.0,1251.0,1335.0,,,
영업이익률,3.14,1.25,0.96,2.0,2.47,2.8,3.1,3.27
순이익률,2.68,0.64,0.74,1.34,1.71,1.92,2.19,2.34
ROE(%),9.15,1.67,,4.89,6.73,7.71,8.88,9.56
ROA(%),7.01,1.26,,2.7,3.58,4.01,4.6,4.96
부채비율,30.88,33.98,75.26,87.14,88.97,94.19,92.05,90.1
자본유보율,1188.87,1384.34,1392.97,1444.8,1537.17,,,
EPS(원),5630.0,1212.0,1727.0,3690.0,5323.0,6493.0,8040.0,9366.0
PER(배),15.19,87.84,100.19,39.97,24.89,17.94,14.49,12.44
BPS(원),63886.0,73722.0,74153.0,76745.0,81364.0,86970.0,94137.0,101783.0
PBR(배),1.34,1.44,2.33,1.92,1.63,1.34,1.24,1.14
현금DPS(원),750.0,750.0,500.0,600.0,750.0,782.0,862.0,965.0
현금배당수익률,0.88,0.7,0.29,0.41,0.57,0.67,0.74,0.83
현금배당성향(%),13.32,69.11,28.96,16.26,14.09,0.12,0.11,0.1
발행주식수(보통주),3428600.0,3872480.0,3872480.0,3872480.0,3872480.0,,,
