주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,410.0,423.0,380.0,410.0,398.0,,,
영업이익,-31.0,-29.0,-28.0,12.0,-3.0,,,
영업이익(발표기준),-31.0,-29.0,-28.0,13.0,-3.0,,,
세전계속사업이익,11.0,-11.0,1.0,21.0,11.0,,,
당기순이익,66.0,3.0,-21.0,22.0,7.0,,,
당기순이익(지배),57.0,-5.0,-23.0,18.0,5.0,,,
당기순이익(비지배),9.0,8.0,2.0,4.0,1.0,,,
자산총계,1394.0,1572.0,1661.0,1609.0,1641.0,,,
부채총계,290.0,256.0,373.0,321.0,346.0,,,
자본총계,1104.0,1316.0,1288.0,1288.0,1295.0,,,
자본총계(지배),1049.0,1255.0,1224.0,1218.0,1220.0,,,
자본총계(비지배),55.0,61.0,65.0,69.0,75.0,,,
자본금,52.0,52.0,52.0,52.0,52.0,,,
영업활동현금흐름,22.0,71.0,43.0,35.0,56.0,,,
투자활동현금흐름,-25.0,18.0,-80.0,-73.0,-30.0,,,
재무활동현금흐름,-46.0,-29.0,22.0,0.0,,,,
CAPEX,20.0,22.0,52.0,27.0,31.0,,,
FCF,3.0,50.0,-10.0,8.0,26.0,,,
이자발생부채,6.0,,,,,,,
영업이익률,-7.47,-6.77,-7.31,2.87,-0.66,,,
순이익률,15.99,0.67,-5.5,5.36,1.71,,,
ROE(%),5.29,-0.42,-1.84,1.47,0.44,,,
ROA(%),4.62,0.19,-1.29,1.34,0.42,,,
부채비율,26.25,19.45,28.94,24.92,26.74,,,
자본유보율,2084.49,2078.69,1972.53,2009.02,2016.22,,,
EPS(원),540.0,-46.0,-218.0,171.0,51.0,,,
PER(배),6.09,-118.82,-24.45,27.32,79.31,,,
BPS(원),12197.0,14592.0,14232.0,14169.0,14187.0,,,
PBR(배),0.27,0.37,0.37,0.33,0.29,,,
현금DPS(원),0.0,350.0,0.0,,,,,
현금배당수익률,0.0,6.45,0.0,,,,,
현금배당성향(%),0.0,-627.8,0.0,0.0,0.0,,,
발행주식수(보통주),10490447.0,10490447.0,10490447.0,10490447.0,10490447.0,,,
