주요재무정보,Unnamed: 1,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,6402.0,7682.0,9510.0,11764.0,14228.0
영업이익,,,0.0,438.0,585.0,699.0,928.0,1195.0
영업이익(발표기준),,,0.0,438.0,585.0,,,
세전계속사업이익,,,0.0,430.0,528.0,657.0,897.0,1151.0
당기순이익,,,0.0,349.0,416.0,518.0,706.0,908.0
당기순이익(지배),,,0.0,347.0,415.0,517.0,705.0,905.0
당기순이익(비지배),,,,3.0,2.0,,,
자산총계,,,2605.0,4367.0,6268.0,7105.0,8338.0,9760.0
부채총계,,,1975.0,2439.0,3653.0,4048.0,4577.0,5107.0
자본총계,,,630.0,1928.0,2615.0,3178.0,3869.0,4755.0
자본총계(지배),,,628.0,1923.0,2580.0,3133.0,3816.0,4701.0
자본총계(비지배),,,2.0,5.0,35.0,,,
자본금,,,104.0,135.0,151.0,225.0,225.0,225.0
영업활동현금흐름,,,0.0,327.0,322.0,974.0,1124.0,1247.0
투자활동현금흐름,,,47.0,-552.0,-968.0,-816.0,-903.0,-896.0
재무활동현금흐름,,,0.0,943.0,341.0,-114.0,7.0,0.0
CAPEX,,,,561.0,1113.0,935.0,1020.0,745.0
FCF,,,0.0,-234.0,-791.0,530.0,740.0,970.0
이자발생부채,,,1264.0,1346.0,2131.0,,,
영업이익률,,,,6.85,7.62,7.35,7.89,8.4
순이익률,,,,5.46,5.42,5.44,6.0,6.38
ROE(%),,,,27.19,18.41,18.09,20.3,21.26
ROA(%),,,,10.02,7.83,7.74,9.15,10.03
부채비율,,,313.22,126.51,139.71,127.37,118.3,107.41
자본유보율,,,505.95,1294.29,1699.13,,,
EPS(원),,,-1.0,775.0,750.0,854.0,1165.0,1496.0
PER(배),,,,9.87,15.99,16.4,12.01,9.36
BPS(원),,,1515.0,3570.0,4262.0,5176.0,6303.0,7766.0
PBR(배),,,0.0,2.14,2.82,2.7,2.22,1.8
현금DPS(원),,,0.0,18.0,18.0,32.0,34.0,38.0
현금배당수익률,,,,0.23,0.15,0.23,0.25,0.28
현금배당성향(%),,,0.0,2.72,2.56,0.04,0.03,0.03
발행주식수(보통주),,,41458958.0,53858958.0,60536670.0,,,
