주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,,,,3443.0,,,
영업이익,,,,,211.0,,,
영업이익(발표기준),,,,,211.0,,,
세전계속사업이익,,,,,179.0,,,
당기순이익,,,,,137.0,,,
당기순이익(지배),,,,,137.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,,,,3287.0,,,
부채총계,,,,,2079.0,,,
자본총계,,,,,1208.0,,,
자본총계(지배),,,,,1208.0,,,
자본총계(비지배),,,,,,,,
자본금,,,,,27.0,,,
영업활동현금흐름,,,,,434.0,,,
투자활동현금흐름,,,,,-126.0,,,
재무활동현금흐름,,,,,-325.0,,,
CAPEX,,,,,131.0,,,
FCF,,,,,303.0,,,
이자발생부채,,,,,957.0,,,
영업이익률,,,,,6.14,,,
순이익률,,,,,3.97,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,172.11,,,
자본유보율,,,,,4448.62,,,
EPS(원),,,,,1230.0,,,
PER(배),,,,,11.42,,,
BPS(원),,,,,9089.0,,,
PBR(배),,,,,1.55,,,
현금DPS(원),,,,,250.0,,,
현금배당수익률,,,,,1.78,,,
현금배당성향(%),,,,,24.32,,,
발행주식수(보통주),,,,,,,,
