주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,9387.0,60145.0,64386.0,68425.0
영업이익,,,,,265.0,1973.0,2192.0,2367.0
영업이익(발표기준),,,,,265.0,,,
세전계속사업이익,,,,,350.0,2065.0,2277.0,2483.0
당기순이익,,,,,280.0,1587.0,1747.0,1908.0
당기순이익(지배),,,,,280.0,1609.0,1764.0,1899.0
당기순이익(비지배),,,,,,,,
자산총계,,,,,12774.0,16296.0,18126.0,19735.0
부채총계,,,,,8887.0,11051.0,11445.0,11495.0
자본총계,,,,,3886.0,5246.0,6682.0,8240.0
자본총계(지배),,,,,3886.0,5215.0,6612.0,8011.0
자본총계(비지배),,,,,,,,
자본금,,,,,173.0,171.0,171.0,171.0
영업활동현금흐름,,,,,-250.0,3453.0,1655.0,2669.0
투자활동현금흐름,,,,,321.0,-1310.0,-1026.0,-1210.0
재무활동현금흐름,,,,,-17.0,-220.0,-283.0,-289.0
CAPEX,,,,,238.0,1145.0,1028.0,1140.0
FCF,,,,,-487.0,1793.0,1376.0,1305.0
이자발생부채,,,,,28.0,,,
영업이익률,,,,,2.83,3.28,3.4,3.46
순이익률,,,,,2.98,2.64,2.71,2.79
ROE(%),,,,,,35.35,29.83,25.97
ROA(%),,,,,,10.92,10.15,10.08
부채비율,,,,,228.67,210.66,171.28,139.51
자본유보율,,,,,2026.93,,,
EPS(원),,,,,9688.0,9307.0,10204.0,10985.0
PER(배),,,,,21.68,18.43,16.81,15.61
BPS(원),,,,,22497.0,30186.0,38275.0,46373.0
PBR(배),,,,,9.33,5.68,4.48,3.7
현금DPS(원),,,,,1000.0,1722.0,1844.0,2001.0
현금배당수익률,,,,,0.48,1.0,1.08,1.17
현금배당성향(%),,,,,61.73,0.19,0.18,0.18
발행주식수(보통주),,,,,,,,
