주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,108477.0,117018.0,129245.0,145633.0,164772.0,179743.0,195829.0,213735.0
영업이익,3455.0,5799.0,7514.0,8436.0,7766.0,8406.0,9696.0,10704.0
영업이익(발표기준),3455.0,5799.0,7514.0,8436.0,7766.0,,,
세전계속사업이익,1267.0,2430.0,3648.0,5284.0,5843.0,14382.0,6612.0,7570.0
당기순이익,711.0,1379.0,2537.0,3535.0,4128.0,10397.0,4619.0,5321.0
당기순이익(지배),1167.0,920.0,1893.0,2759.0,3702.0,9600.0,4016.0,4623.0
당기순이익(비지배),-456.0,459.0,644.0,776.0,426.0,,,
자산총계,130045.0,133825.0,137513.0,157662.0,168681.0,184369.0,190765.0,199082.0
부채총계,81919.0,84327.0,83660.0,97058.0,107243.0,111527.0,114091.0,117918.0
자본총계,48126.0,49499.0,53852.0,60605.0,61439.0,72836.0,76648.0,81138.0
자본총계(지배),28839.0,29849.0,31431.0,34094.0,33749.0,45514.0,48704.0,52502.0
자본총계(비지배),19287.0,19650.0,22421.0,26511.0,27689.0,,,
자본금,721.0,723.0,724.0,724.0,725.0,793.0,793.0,793.0
영업활동현금흐름,5909.0,6886.0,11546.0,8001.0,11808.0,13842.0,11994.0,12755.0
투자활동현금흐름,-7691.0,-5372.0,-6930.0,-14089.0,-14639.0,-8770.0,-11303.0,-11104.0
재무활동현금흐름,607.0,-1414.0,-3645.0,7259.0,2654.0,-664.0,-1946.0,-945.0
CAPEX,11285.0,4743.0,6735.0,8454.0,14504.0,11382.0,10202.0,9984.0
FCF,-5375.0,2143.0,4811.0,-453.0,-2695.0,2406.0,724.0,1709.0
이자발생부채,58549.0,59473.0,57462.0,66622.0,71344.0,,,
영업이익률,3.19,4.96,5.81,5.79,4.71,4.68,4.95,5.01
순이익률,0.66,1.18,1.96,2.43,2.5,5.79,2.36,2.49
ROE(%),3.98,3.13,6.18,8.42,10.91,24.22,8.52,9.14
ROA(%),0.56,1.04,1.87,2.4,2.53,5.89,2.46,2.73
부채비율,170.22,170.36,155.35,160.15,174.55,153.12,148.85,145.33
자본유보율,4218.12,4288.09,4496.86,4818.68,5285.88,,,
EPS(원),8089.0,6369.0,13073.0,19044.0,25536.0,59427.0,24515.0,28221.0
PER(배),34.24,48.12,28.88,18.77,14.33,5.76,13.97,12.14
BPS(원),205065.0,211670.0,222486.0,241270.0,238582.0,284067.0,303976.0,327685.0
PBR(배),1.35,1.45,1.7,1.48,1.53,1.21,1.13,1.05
현금DPS(원),1800.0,2000.0,2500.0,2500.0,3000.0,3106.0,3224.0,3321.0
현금배당수익률,0.65,0.65,0.66,0.7,0.82,0.91,0.94,0.97
현금배당성향(%),21.76,30.74,18.7,12.83,11.48,0.05,0.12,0.11
발행주식수(보통주),13099998.0,13138298.0,13158198.0,13161898.0,13176748.0,,,
