주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1082.0,1115.0,1354.0,1571.0,2232.0,,,
영업이익,91.0,84.0,104.0,158.0,211.0,,,
영업이익(발표기준),91.0,84.0,104.0,158.0,211.0,,,
세전계속사업이익,101.0,83.0,109.0,154.0,241.0,,,
당기순이익,76.0,63.0,84.0,123.0,186.0,,,
당기순이익(지배),76.0,63.0,84.0,123.0,186.0,,,
당기순이익(비지배),,,,0.0,0.0,,,
자산총계,1078.0,1062.0,1288.0,1571.0,2259.0,,,
부채총계,370.0,293.0,442.0,531.0,1051.0,,,
자본총계,707.0,769.0,845.0,1040.0,1208.0,,,
자본총계(지배),707.0,769.0,844.0,1040.0,1208.0,,,
자본총계(비지배),,,1.0,0.0,0.0,,,
자본금,65.0,67.0,67.0,80.0,80.0,,,
영업활동현금흐름,86.0,96.0,174.0,130.0,-138.0,,,
투자활동현금흐름,-125.0,-103.0,-51.0,-294.0,-100.0,,,
재무활동현금흐름,90.0,-30.0,-13.0,144.0,215.0,,,
CAPEX,100.0,86.0,30.0,202.0,126.0,,,
FCF,-14.0,10.0,144.0,-72.0,-264.0,,,
이자발생부채,169.0,136.0,147.0,217.0,446.0,,,
영업이익률,8.39,7.54,7.66,10.08,9.43,,,
순이익률,6.98,5.68,6.23,7.84,8.36,,,
ROE(%),11.27,8.59,,13.08,16.59,,,
ROA(%),7.66,5.93,,8.61,9.74,,,
부채비율,52.35,38.16,52.35,51.03,86.96,,,
자본유보율,999.96,1069.3,1176.35,1214.24,1408.53,,,
EPS(원),588.0,482.0,633.0,842.0,1211.0,,,
PER(배),5.25,8.39,7.91,7.34,5.42,,,
BPS(원),5637.0,5887.0,6432.0,6874.0,7846.0,,,
PBR(배),0.55,0.69,0.78,0.9,0.84,,,
현금DPS(원),96.0,96.0,144.0,200.0,250.0,,,
현금배당수익률,3.1,2.36,2.87,3.24,3.81,,,
현금배당성향(%),15.87,19.69,22.32,24.56,20.64,,,
발행주식수(보통주),12932925.0,13298705.0,13366635.0,15370000.0,15400000.0,,,
