주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,,,,751.0,3815.0,4358.0,4880.0
영업이익,,,,,139.0,692.0,822.0,1016.0
영업이익(발표기준),,,,,139.0,,,
세전계속사업이익,,,,,144.0,697.0,830.0,1026.0
당기순이익,,,,,112.0,544.0,647.0,788.0
당기순이익(지배),,,,,112.0,542.0,646.0,787.0
당기순이익(비지배),,,,,,,,
자산총계,,,,,2666.0,3020.0,3570.0,4160.0
부채총계,,,,,616.0,480.0,510.0,550.0
자본총계,,,,,2050.0,2540.0,3060.0,3610.0
자본총계(지배),,,,,2050.0,2540.0,3060.0,3610.0
자본총계(비지배),,,,,,,,
자본금,,,,,99.0,100.0,100.0,100.0
영업활동현금흐름,,,,,71.0,710.0,550.0,570.0
투자활동현금흐름,,,,,-27.0,-260.0,-130.0,-140.0
재무활동현금흐름,,,,,-1.0,-40.0,-40.0,-40.0
CAPEX,,,,,76.0,100.0,100.0,100.0
FCF,,,,,-5.0,610.0,450.0,470.0
이자발생부채,,,,,,,,
영업이익률,,,,,18.54,18.13,18.88,20.81
순이익률,,,,,14.87,14.25,14.85,16.16
ROE(%),,,,,,23.62,23.05,23.6
ROA(%),,,,,,19.12,19.64,20.4
부채비율,,,,,30.07,18.9,16.67,15.24
자본유보율,,,,,1967.26,,,
EPS(원),,,,,3368.0,2732.0,3254.0,3967.0
PER(배),,,,,6.32,6.3,5.29,4.34
BPS(원),,,,,10333.0,12806.0,15428.0,18201.0
PBR(배),,,,,2.06,1.34,1.11,0.95
현금DPS(원),,,,,180.0,180.0,180.0,180.0
현금배당수익률,,,,,0.85,1.05,1.05,1.05
현금배당성향(%),,,,,31.97,0.07,0.06,0.05
발행주식수(보통주),,,,,,,,
