주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,541881.0,527873.0,463176.0,223004.0,154688.0,130154.0,142926.0,164802.0
영업이익,8020.0,-32740.0,-15849.0,3915.0,146.0,-3167.0,1245.0,5129.0
영업이익(발표기준),8020.0,-32495.0,-15401.0,16419.0,146.0,,,
세전계속사업이익,1443.0,-31155.0,-18600.0,960.0,-269.0,-4510.0,1254.0,5165.0
당기순이익,1463.0,-22138.0,-13758.0,6270.0,26931.0,-2278.0,951.0,3936.0
당기순이익(지배),2787.0,-17688.0,-13499.0,5452.0,24578.0,-2537.0,617.0,3573.0
당기순이익(비지배),-1324.0,-4450.0,-259.0,818.0,2354.0,,,
자산총계,532050.0,531138.0,494691.0,489493.0,304088.0,296615.0,303115.0,316542.0
부채총계,341754.0,365355.0,340430.0,311627.0,180368.0,164359.0,169732.0,179516.0
자본총계,190296.0,165782.0,154261.0,177866.0,123720.0,132258.0,133382.0,137027.0
자본총계(지배),172496.0,151742.0,137366.0,159369.0,111214.0,119897.0,120859.0,124323.0
자본총계(비지배),17800.0,14041.0,16895.0,18496.0,12506.0,,,
자본금,3800.0,3800.0,3800.0,3800.0,2833.0,3458.0,3458.0,3458.0
영업활동현금흐름,4928.0,15024.0,-6374.0,26492.0,5933.0,2700.0,2276.0,5244.0
투자활동현금흐름,-12634.0,-4281.0,-1386.0,-5248.0,5963.0,-7354.0,-8368.0,-9623.0
재무활동현금흐름,10017.0,8368.0,6127.0,-8759.0,-21225.0,-3396.0,-7028.0,-5808.0
CAPEX,13035.0,12997.0,12724.0,11355.0,3733.0,3897.0,4535.0,5743.0
FCF,-8107.0,2026.0,-19099.0,15138.0,2200.0,596.0,1608.0,2682.0
이자발생부채,174744.0,190164.0,182071.0,179808.0,53445.0,,,
영업이익률,1.48,-6.2,-3.42,1.76,0.1,-2.43,0.87,3.11
순이익률,0.27,-4.19,-2.97,2.81,17.41,-1.75,0.66,2.39
ROE(%),1.63,-10.91,-9.34,3.67,18.17,-2.2,0.51,2.91
ROA(%),0.29,-4.16,-2.68,1.27,6.79,-0.76,0.32,1.27
부채비율,179.59,220.38,220.68,175.2,145.79,124.27,127.25,131.01
자본유보율,4579.58,4047.8,3669.5,3831.27,6101.36,,,
EPS(원),3461.0,-21964.0,-16761.0,6769.0,37625.0,-3792.0,892.0,5165.0
PER(배),62.73,-4.42,-4.43,18.16,2.55,-31.12,132.28,22.84
BPS(원),262064.0,230533.0,195188.0,226454.0,185395.0,173494.0,174886.0,179898.0
PBR(배),0.83,0.42,0.38,0.54,0.52,0.68,0.67,0.66
현금DPS(원),1887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현금배당수익률,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현금배당성향(%),43.98,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),80533716.0,80533716.0,80533716.0,80533716.0,60045754.0,,,
