주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2234.0,2491.0,2544.0,2344.0,2598.0,,,
영업이익,201.0,255.0,230.0,217.0,67.0,,,
영업이익(발표기준),201.0,255.0,230.0,217.0,67.0,,,
세전계속사업이익,181.0,249.0,255.0,231.0,48.0,,,
당기순이익,140.0,192.0,192.0,179.0,11.0,,,
당기순이익(지배),140.0,192.0,192.0,179.0,11.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2143.0,2367.0,2486.0,2769.0,2716.0,,,
부채총계,886.0,939.0,884.0,991.0,947.0,,,
자본총계,1257.0,1428.0,1602.0,1778.0,1768.0,,,
자본총계(지배),1257.0,1428.0,1602.0,1778.0,1768.0,,,
자본총계(비지배),,,,,,,,
자본금,56.0,58.0,59.0,61.0,63.0,,,
영업활동현금흐름,199.0,52.0,212.0,242.0,54.0,,,
투자활동현금흐름,-50.0,-82.0,-94.0,-124.0,-87.0,,,
재무활동현금흐름,-4.0,-4.0,-7.0,-7.0,-10.0,,,
CAPEX,47.0,74.0,63.0,72.0,133.0,,,
FCF,152.0,-22.0,149.0,170.0,-79.0,,,
이자발생부채,340.0,348.0,361.0,368.0,343.0,,,
영업이익률,9.01,10.25,9.05,9.27,2.59,,,
순이익률,6.26,7.72,7.56,7.63,0.42,,,
ROE(%),11.75,14.33,,10.58,0.62,,,
ROA(%),6.76,8.53,,6.81,0.4,,,
부채비율,70.54,65.74,55.14,55.7,53.58,,,
자본유보율,2164.05,2384.19,2595.47,2798.3,2698.01,,,
EPS(원),1076.0,1480.0,1479.0,1376.0,84.0,,,
PER(배),6.94,5.65,7.52,8.56,98.41,,,
BPS(원),9666.0,10988.0,12327.0,13678.0,13603.0,,,
PBR(배),0.77,0.76,0.9,0.86,0.61,,,
현금DPS(원),34.0,53.0,55.0,76.0,78.0,,,
현금배당수익률,0.46,0.64,0.49,0.64,0.94,,,
현금배당성향(%),3.17,3.59,3.71,5.49,92.11,,,
발행주식수(보통주),13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,,,
