주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,238.0,318.0,485.0,536.0,580.0,,,
영업이익,-17.0,15.0,24.0,27.0,30.0,,,
영업이익(발표기준),-18.0,15.0,24.0,27.0,30.0,,,
세전계속사업이익,-31.0,-4.0,12.0,17.0,19.0,,,
당기순이익,-32.0,3.0,11.0,25.0,29.0,,,
당기순이익(지배),-32.0,4.0,11.0,25.0,29.0,,,
당기순이익(비지배),0.0,0.0,,,,,,
자산총계,445.0,559.0,639.0,667.0,677.0,,,
부채총계,295.0,317.0,349.0,313.0,295.0,,,
자본총계,150.0,243.0,290.0,354.0,381.0,,,
자본총계(지배),163.0,243.0,290.0,354.0,381.0,,,
자본총계(비지배),-14.0,,,,,,,
자본금,190.0,190.0,216.0,238.0,238.0,,,
영업활동현금흐름,-16.0,20.0,40.0,50.0,64.0,,,
투자활동현금흐름,-35.0,-41.0,-45.0,-27.0,-61.0,,,
재무활동현금흐름,56.0,25.0,19.0,-8.0,-16.0,,,
CAPEX,27.0,35.0,40.0,25.0,49.0,,,
FCF,-43.0,-16.0,0.0,25.0,15.0,,,
이자발생부채,205.0,236.0,228.0,191.0,178.0,,,
영업이익률,-7.25,4.72,5.01,5.05,5.14,,,
순이익률,-13.61,1.04,2.32,4.6,5.01,,,
ROE(%),-18.34,1.76,4.23,7.64,7.91,,,
ROA(%),-7.47,0.66,1.88,3.77,4.33,,,
부채비율,197.24,130.38,120.17,88.31,77.48,,,
자본유보율,-18.86,-15.47,-4.19,14.21,33.84,,,
EPS(원),-84.0,9.0,29.0,54.0,61.0,,,
PER(배),-11.79,93.29,46.02,28.8,43.49,,,
BPS(원),431.0,641.0,672.0,743.0,800.0,,,
PBR(배),2.31,1.38,1.96,2.11,3.32,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),37902287.0,37902287.0,43200298.0,47646375.0,47646375.0,,,
