주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,437.0,1054.0,913.0,2946.0,4646.0,5285.0,8372.0,11884.0
영업이익,-1464.0,-1052.0,-2036.0,-304.0,660.0,706.0,2011.0,3968.0
영업이익(발표기준),-1464.0,-1052.0,-2036.0,-304.0,660.0,,,
세전계속사업이익,-1408.0,-839.0,24881.0,-2309.0,-1160.0,1144.0,2081.0,4517.0
당기순이익,-1408.0,-839.0,19049.0,-1768.0,-970.0,813.0,1685.0,3701.0
당기순이익(지배),-1290.0,-819.0,19049.0,-1768.0,-970.0,813.0,1685.0,3701.0
당기순이익(비지배),-117.0,-20.0,,,,,,
자산총계,6534.0,13573.0,59605.0,75330.0,71831.0,66396.0,69028.0,73663.0
부채총계,2533.0,6952.0,31857.0,34506.0,32066.0,26846.0,27619.0,28550.0
자본총계,4001.0,6621.0,27748.0,40824.0,39765.0,39550.0,41413.0,45113.0
자본총계(지배),3683.0,6265.0,27748.0,40824.0,39765.0,39550.0,41413.0,45113.0
자본총계(비지배),318.0,356.0,,,,,,
자본금,594.0,1018.0,1378.0,1654.0,1654.0,1653.0,1653.0,1653.0
영업활동현금흐름,-1035.0,-1637.0,-2655.0,-627.0,1498.0,-1744.0,2206.0,3698.0
투자활동현금흐름,-1487.0,-5265.0,-4295.0,-13728.0,2652.0,2936.0,-1704.0,-2270.0
재무활동현금흐름,1652.0,6820.0,6332.0,16313.0,-2872.0,3480.0,927.0,385.0
CAPEX,712.0,3659.0,2403.0,1630.0,4941.0,3773.0,665.0,1307.0
FCF,-1747.0,-5296.0,-5058.0,-2257.0,-3443.0,-2480.0,2069.0,3278.0
이자발생부채,1230.0,4757.0,25123.0,8431.0,5459.0,,,
영업이익률,-334.55,-99.81,-223.1,-10.33,14.2,13.36,24.02,33.39
순이익률,-321.76,-79.64,2086.97,-60.02,-20.87,15.38,20.12,31.14
ROE(%),-32.47,-16.46,107.38,-5.16,-2.41,2.05,4.16,8.55
ROA(%),-23.01,-8.35,52.05,-2.62,-1.32,1.18,2.49,5.19
부채비율,63.32,104.99,114.81,84.52,80.64,67.88,66.69,63.29
자본유보율,523.68,506.2,1909.52,2365.01,2306.38,,,
EPS(원),-5709.0,-2397.0,38489.0,-3113.0,-1466.0,1228.0,2546.0,5594.0
PER(배),,,,-48.5,-253.14,376.97,181.85,82.77
BPS(원),15494.0,15380.0,50326.0,61700.0,60099.0,59775.0,62590.0,68182.0
PBR(배),0.0,0.0,0.0,2.45,6.17,7.75,7.4,6.79
현금DPS(원),0.0,0.0,0.0,0.0,,0.0,0.0,0.0
현금배당수익률,,,,,,0.0,0.0,0.0
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),23774050.0,40733298.0,55137442.0,66165000.0,66165000.0,,,
