주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3841.0,1426.0,1292.0,1347.0,1450.0,1694.0,1603.0,1596.0
영업이익,-382.0,66.0,33.0,54.0,95.0,257.0,224.0,221.0
영업이익(발표기준),-382.0,-243.0,37.0,54.0,95.0,,,
세전계속사업이익,-397.0,34.0,-24.0,22.0,69.0,224.0,204.0,206.0
당기순이익,-394.0,-340.0,-165.0,24.0,68.0,211.0,179.0,165.0
당기순이익(지배),-394.0,-340.0,-165.0,24.0,68.0,211.0,179.0,170.0
당기순이익(비지배),,,,,,,,
자산총계,5026.0,4492.0,3073.0,2688.0,2667.0,2860.0,2990.0,3100.0
부채총계,3394.0,3207.0,1909.0,1483.0,1360.0,1370.0,1340.0,1330.0
자본총계,1632.0,1286.0,1164.0,1205.0,1307.0,1500.0,1650.0,1770.0
자본총계(지배),1632.0,1286.0,1164.0,1205.0,1307.0,1500.0,1650.0,1770.0
자본총계(비지배),,,,,,,,
자본금,156.0,156.0,225.0,225.0,225.0,220.0,220.0,220.0
영업활동현금흐름,-164.0,94.0,196.0,334.0,233.0,320.0,280.0,280.0
투자활동현금흐름,-459.0,-89.0,871.0,16.0,-151.0,-190.0,-200.0,-310.0
재무활동현금흐름,589.0,-97.0,-1097.0,-335.0,-89.0,-30.0,-70.0,-70.0
CAPEX,481.0,78.0,58.0,34.0,94.0,120.0,200.0,300.0
FCF,-646.0,16.0,138.0,300.0,139.0,200.0,80.0,-20.0
이자발생부채,2659.0,2585.0,1434.0,1070.0,895.0,,,
영업이익률,-9.94,4.64,2.56,3.98,6.56,15.17,13.97,13.85
순이익률,-10.27,-23.81,-12.75,1.76,4.69,12.46,11.17,10.34
ROE(%),-21.55,-23.28,-13.45,2.0,5.41,15.04,11.37,9.94
ROA(%),-7.98,-7.14,-4.35,0.82,2.54,7.63,6.12,5.42
부채비율,207.91,249.44,164.09,123.11,104.11,91.33,81.21,75.14
자본유보율,439.3,217.61,157.24,169.06,197.4,,,
EPS(원),-1116.0,-961.0,-409.0,53.0,151.0,470.0,398.0,378.0
PER(배),-2.26,-2.22,-4.78,37.65,17.48,6.11,7.2,7.58
BPS(원),4750.0,3741.0,3010.0,3032.0,3118.0,3561.0,3918.0,4202.0
PBR(배),0.53,0.57,0.65,0.65,0.85,0.81,0.73,0.68
현금DPS(원),0.0,0.0,0.0,0.0,25.0,40.0,50.0,60.0
현금배당수익률,0.0,0.0,0.0,0.0,0.95,1.39,1.74,2.09
현금배당성향(%),0.0,0.0,0.0,0.0,15.41,0.09,0.13,0.16
발행주식수(보통주),35340993.0,35340993.0,44918407.0,44918407.0,44918407.0,,,
