주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,21126.0,22024.0,25267.0,25311.0,30553.0,33244.0,33935.0,34814.0
영업이익,1439.0,1753.0,2223.0,1435.0,1885.0,1452.0,1545.0,1658.0
영업이익(발표기준),1439.0,1753.0,2223.0,1435.0,1885.0,,,
세전계속사업이익,1292.0,1634.0,2151.0,1328.0,1733.0,1243.0,1394.0,1499.0
당기순이익,1040.0,1235.0,1650.0,1047.0,1372.0,953.0,1059.0,1140.0
당기순이익(지배),1040.0,1235.0,1509.0,887.0,1267.0,868.0,961.0,1044.0
당기순이익(비지배),,,141.0,160.0,104.0,,,
자산총계,22091.0,24247.0,35939.0,35371.0,35910.0,37243.0,37393.0,37980.0
부채총계,7860.0,9247.0,16773.0,15428.0,14878.0,16110.0,15628.0,15454.0
자본총계,14231.0,15001.0,19166.0,19942.0,21032.0,21085.0,21828.0,22653.0
자본총계(지배),14231.0,15001.0,14732.0,17378.0,18363.0,18981.0,19627.0,20345.0
자본총계(비지배),,,4434.0,2565.0,2669.0,,,
자본금,2193.0,2193.0,2193.0,2193.0,2193.0,2192.0,2192.0,2192.0
영업활동현금흐름,1422.0,2452.0,3537.0,2552.0,2219.0,1645.0,2046.0,2071.0
투자활동현금흐름,-864.0,-992.0,-4424.0,-1714.0,-1255.0,-1144.0,-630.0,-925.0
재무활동현금흐름,-584.0,1115.0,-560.0,-1791.0,-1043.0,-312.0,-1486.0,-1133.0
CAPEX,924.0,289.0,817.0,1608.0,965.0,855.0,870.0,872.0
FCF,498.0,2163.0,2721.0,945.0,1254.0,1186.0,1370.0,1414.0
이자발생부채,5479.0,6919.0,9751.0,9993.0,9244.0,,,
영업이익률,6.81,7.96,8.8,5.67,6.17,4.37,4.55,4.76
순이익률,4.92,5.61,6.53,4.13,4.49,2.87,3.12,3.28
ROE(%),7.5,8.45,,5.53,7.09,4.65,4.98,5.22
ROA(%),4.76,5.33,,2.94,3.85,2.61,2.84,3.02
부채비율,55.23,61.64,87.52,77.36,70.74,76.41,71.6,68.22
자본유보율,553.67,588.64,640.3,667.24,711.65,,,
EPS(원),2900.0,3444.0,4208.0,2473.0,3533.0,2420.0,2680.0,2910.0
PER(배),8.93,8.1,6.56,10.33,8.22,8.57,7.74,7.13
BPS(원),39980.0,42142.0,41386.0,48820.0,51588.0,53325.0,55139.0,57155.0
PBR(배),0.65,0.66,0.67,0.52,0.56,0.39,0.38,0.36
현금DPS(원),900.0,1000.0,1000.0,800.0,900.0,914.0,914.0,914.0
현금배당수익률,3.47,3.58,3.62,3.13,3.1,4.41,4.41,4.41
현금배당성향(%),30.8,28.82,23.59,32.1,25.28,0.38,0.34,0.31
발행주식수(보통주),35862119.0,35862119.0,35862119.0,35862119.0,35862119.0,,,
