주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,1030.0,765.0,659.0,548.0,449.0,,,
영업이익,44.0,86.0,60.0,51.0,18.0,,,
영업이익(발표기준),44.0,86.0,60.0,51.0,18.0,,,
세전계속사업이익,-23.0,124.0,34.0,33.0,12.0,,,
당기순이익,-511.0,124.0,34.0,24.0,23.0,,,
당기순이익(지배),-511.0,124.0,34.0,24.0,23.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1145.0,930.0,865.0,786.0,2670.0,,,
부채총계,1106.0,767.0,556.0,433.0,1174.0,,,
자본총계,39.0,164.0,309.0,353.0,1496.0,,,
자본총계(지배),39.0,164.0,309.0,353.0,1496.0,,,
자본총계(비지배),,,,,,,,
자본금,52.0,52.0,80.0,85.0,249.0,,,
영업활동현금흐름,-64.0,204.0,12.0,27.0,81.0,,,
투자활동현금흐름,-16.0,97.0,0.0,-13.0,-844.0,,,
재무활동현금흐름,94.0,-319.0,-7.0,-23.0,1880.0,,,
CAPEX,0.0,35.0,13.0,13.0,1.0,,,
FCF,-64.0,170.0,-1.0,14.0,80.0,,,
이자발생부채,766.0,471.0,397.0,361.0,986.0,,,
영업이익률,4.28,11.24,9.12,9.24,4.08,,,
순이익률,-49.62,16.26,5.14,4.39,5.21,,,
ROE(%),2960.14,123.08,14.36,7.28,,,,
ROA(%),-40.73,11.99,3.78,2.92,,,,
부채비율,2867.87,468.52,180.23,122.49,78.52,,,
자본유보율,-26.32,213.6,286.33,318.24,501.31,,,
EPS(원),-5977.0,1194.0,288.0,148.0,117.0,,,
PER(배),-0.42,1.53,10.52,17.75,111.39,,,
BPS(원),370.0,1570.0,1933.0,2087.0,3005.0,,,
PBR(배),6.71,1.16,1.57,1.26,4.33,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),10425527.0,10425527.0,15967028.0,16926996.0,49774786.0,,,
