주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2453.0,2454.0,2596.0,2802.0,2837.0,,,
영업이익,125.0,74.0,101.0,161.0,139.0,,,
영업이익(발표기준),125.0,74.0,101.0,161.0,139.0,,,
세전계속사업이익,105.0,54.0,99.0,615.0,152.0,,,
당기순이익,88.0,47.0,83.0,469.0,125.0,,,
당기순이익(지배),88.0,47.0,83.0,469.0,125.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2162.0,2257.0,2257.0,2497.0,2469.0,,,
부채총계,1087.0,1159.0,1084.0,871.0,739.0,,,
자본총계,1075.0,1098.0,1172.0,1626.0,1730.0,,,
자본총계(지배),1075.0,1098.0,1172.0,1626.0,1730.0,,,
자본총계(비지배),,,,,,,,
자본금,269.0,269.0,269.0,269.0,269.0,,,
영업활동현금흐름,34.0,28.0,106.0,100.0,-24.0,,,
투자활동현금흐름,-75.0,-59.0,-36.0,330.0,-46.0,,,
재무활동현금흐름,34.0,33.0,-72.0,-292.0,-22.0,,,
CAPEX,75.0,55.0,39.0,46.0,46.0,,,
FCF,-41.0,-27.0,66.0,54.0,-70.0,,,
이자발생부채,298.0,341.0,277.0,,,,,
영업이익률,5.1,3.02,3.89,5.73,4.89,,,
순이익률,3.59,1.91,3.19,16.73,4.4,,,
ROE(%),8.48,4.31,7.3,33.5,7.44,,,
ROA(%),4.24,2.12,3.67,19.72,5.03,,,
부채비율,101.17,105.56,92.5,53.57,42.73,,,
자본유보율,303.58,312.23,339.84,508.4,546.88,,,
EPS(원),194.0,103.0,183.0,1035.0,276.0,,,
PER(배),12.03,27.67,20.3,4.02,9.85,,,
BPS(원),2427.0,2480.0,2648.0,3672.0,3906.0,,,
PBR(배),0.96,1.15,1.4,1.13,0.7,,,
현금DPS(원),23.0,17.0,35.0,50.0,50.0,,,
현금배당수익률,0.99,0.59,0.94,1.2,1.84,,,
현금배당성향(%),11.58,16.08,18.71,4.72,17.74,,,
발행주식수(보통주),45282310.0,45282310.0,45282310.0,45282310.0,45282310.0,,,
