주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1795.0,2018.0,1827.0,1725.0,1775.0,,,
영업이익,46.0,93.0,101.0,77.0,25.0,,,
영업이익(발표기준),46.0,93.0,101.0,77.0,25.0,,,
세전계속사업이익,11.0,94.0,125.0,104.0,57.0,,,
당기순이익,18.0,73.0,99.0,87.0,50.0,,,
당기순이익(지배),18.0,73.0,99.0,87.0,50.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2039.0,2021.0,1843.0,1902.0,1961.0,,,
부채총계,1025.0,933.0,662.0,638.0,660.0,,,
자본총계,1014.0,1088.0,1181.0,1264.0,1301.0,,,
자본총계(지배),1014.0,1088.0,1181.0,1264.0,1301.0,,,
자본총계(비지배),,,,,,,,
자본금,72.0,72.0,72.0,72.0,72.0,,,
영업활동현금흐름,132.0,104.0,333.0,139.0,38.0,,,
투자활동현금흐름,-100.0,-45.0,-65.0,-64.0,-104.0,,,
재무활동현금흐름,-35.0,-54.0,-256.0,-68.0,53.0,,,
CAPEX,98.0,47.0,63.0,27.0,66.0,,,
FCF,34.0,57.0,270.0,112.0,-27.0,,,
이자발생부채,717.0,671.0,421.0,363.0,415.0,,,
영업이익률,2.58,4.62,5.53,4.44,1.4,,,
순이익률,1.01,3.62,5.4,5.04,2.83,,,
ROE(%),1.8,6.95,8.7,7.11,3.91,,,
ROA(%),0.9,3.6,5.11,4.64,2.6,,,
부채비율,101.18,85.78,56.08,50.44,50.77,,,
자본유보율,1293.94,1396.5,1524.86,1636.29,1697.65,,,
EPS(원),126.0,507.0,685.0,603.0,348.0,,,
PER(배),24.33,6.23,5.55,14.62,15.05,,,
BPS(원),7038.0,7555.0,8199.0,8780.0,9032.0,,,
PBR(배),0.44,0.42,0.46,1.0,0.58,,,
현금DPS(원),30.0,30.0,40.0,40.0,40.0,,,
현금배당수익률,0.98,0.95,1.05,0.45,0.76,,,
현금배당성향(%),23.81,5.92,5.84,6.63,11.49,,,
발행주식수(보통주),14400000.0,14400000.0,14400000.0,14400000.0,14400000.0,,,
