주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3134.0,2829.0,2723.0,2684.0,2762.0,,,
영업이익,187.0,159.0,187.0,159.0,126.0,,,
영업이익(발표기준),187.0,159.0,187.0,159.0,126.0,,,
세전계속사업이익,191.0,185.0,205.0,181.0,141.0,,,
당기순이익,150.0,145.0,158.0,142.0,110.0,,,
당기순이익(지배),150.0,145.0,158.0,142.0,110.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2039.0,2112.0,2235.0,2343.0,2456.0,,,
부채총계,432.0,417.0,443.0,451.0,507.0,,,
자본총계,1607.0,1695.0,1791.0,1892.0,1950.0,,,
자본총계(지배),1607.0,1695.0,1791.0,1892.0,1950.0,,,
자본총계(비지배),,,,,,,,
자본금,200.0,200.0,200.0,200.0,200.0,,,
영업활동현금흐름,305.0,164.0,235.0,126.0,297.0,,,
투자활동현금흐름,-186.0,-158.0,-45.0,-146.0,-264.0,,,
재무활동현금흐름,-44.0,-48.0,-50.0,-3.0,-53.0,,,
CAPEX,162.0,155.0,74.0,131.0,33.0,,,
FCF,143.0,9.0,161.0,-5.0,265.0,,,
이자발생부채,15.0,15.0,12.0,59.0,56.0,,,
영업이익률,5.96,5.63,6.87,5.94,4.55,,,
순이익률,4.78,5.13,5.82,5.29,3.98,,,
ROE(%),9.64,8.78,9.09,7.71,5.73,,,
ROA(%),7.32,6.99,7.29,6.21,4.58,,,
부채비율,26.85,24.57,24.76,23.82,25.98,,,
자본유보율,705.3,748.4,795.23,844.91,876.98,,,
EPS(원),375.0,363.0,396.0,355.0,275.0,,,
PER(배),9.86,11.38,9.19,9.91,12.13,,,
BPS(원),4019.0,4238.0,4478.0,4730.0,4874.0,,,
PBR(배),0.92,0.97,0.81,0.74,0.68,,,
현금DPS(원),120.0,120.0,125.0,125.0,115.0,,,
현금배당수익률,3.25,2.91,3.43,3.55,3.45,,,
현금배당성향(%),32.02,33.1,31.57,35.2,41.83,,,
발행주식수(보통주),40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,,,
