주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1701.0,3168.0,3663.0,2959.0,3450.0,5025.0,5400.0,5670.0
영업이익,56.0,184.0,261.0,184.0,220.0,371.0,410.0,450.0
영업이익(발표기준),56.0,184.0,261.0,184.0,220.0,,,
세전계속사업이익,121.0,123.0,234.0,179.0,258.0,290.0,400.0,450.0
당기순이익,122.0,124.0,209.0,127.0,142.0,,,
당기순이익(지배),122.0,124.0,206.0,123.0,134.0,181.0,270.0,310.0
당기순이익(비지배),,,3.0,4.0,8.0,,,
자산총계,1437.0,2090.0,2303.0,2206.0,3263.0,,,
부채총계,1028.0,1648.0,1416.0,989.0,1720.0,,,
자본총계,409.0,442.0,887.0,1217.0,1542.0,,,
자본총계(지배),409.0,443.0,885.0,1212.0,1502.0,,,
자본총계(비지배),,-1.0,1.0,5.0,40.0,,,
자본금,279.0,279.0,383.0,456.0,556.0,,,
영업활동현금흐름,-79.0,140.0,91.0,115.0,613.0,,,
투자활동현금흐름,-27.0,-92.0,-132.0,-75.0,-476.0,,,
재무활동현금흐름,108.0,-4.0,44.0,-19.0,54.0,,,
CAPEX,78.0,49.0,130.0,79.0,159.0,,,
FCF,-158.0,92.0,-38.0,36.0,454.0,,,
이자발생부채,710.0,804.0,600.0,362.0,575.0,,,
영업이익률,3.31,5.81,7.11,6.21,6.39,7.38,7.59,7.94
순이익률,7.16,3.91,5.7,4.3,4.12,,,
ROE(%),35.07,,31.03,11.77,9.89,,,
ROA(%),9.15,,9.5,5.65,5.2,,,
부채비율,251.19,372.74,159.74,81.27,111.54,,,
자본유보율,38.73,52.3,123.75,166.65,186.73,,,
EPS(원),735.0,661.0,904.0,500.0,457.0,547.0,817.0,938.0
PER(배),,,,6.24,8.91,6.57,4.4,3.83
BPS(원),2467.0,1944.0,3883.0,4575.0,4624.0,,,
PBR(배),0.0,0.0,0.0,1.01,1.31,,,
현금DPS(원),0.0,0.0,0.0,77.0,67.0,,,
현금배당수익률,,,,2.48,1.65,,,
현금배당성향(%),0.0,0.0,0.0,16.46,16.13,,,
발행주식수(보통주),16587293.0,16587293.0,16587293.0,26353521.0,27066680.0,,,
