주요재무정보,2013,2014,2015,2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,1143.0,1179.0,1005.0,923.0,1811.0,,,
영업이익,44.0,50.0,3.0,17.0,5.0,,,
영업이익(발표기준),44.0,50.0,3.0,17.0,5.0,,,
세전계속사업이익,-49.0,51.0,-43.0,21.0,30.0,,,
당기순이익,-39.0,37.0,-32.0,6.0,19.0,,,
당기순이익(지배),-38.0,38.0,-29.0,6.0,50.0,,,
당기순이익(비지배),-1.0,-1.0,-3.0,,-32.0,,,
자산총계,2755.0,1768.0,1640.0,1643.0,3633.0,,,
부채총계,698.0,463.0,413.0,393.0,1540.0,,,
자본총계,2058.0,1305.0,1227.0,1250.0,2093.0,,,
자본총계(지배),2055.0,1304.0,1229.0,1250.0,1489.0,,,
자본총계(비지배),2.0,1.0,-2.0,,605.0,,,
자본금,78.0,78.0,78.0,78.0,78.0,,,
영업활동현금흐름,61.0,111.0,70.0,72.0,122.0,,,
투자활동현금흐름,-29.0,-57.0,-39.0,-77.0,-483.0,,,
재무활동현금흐름,-13.0,-12.0,-33.0,-33.0,356.0,,,
CAPEX,68.0,61.0,37.0,11.0,69.0,,,
FCF,-7.0,50.0,33.0,61.0,54.0,,,
이자발생부채,101.0,101.0,101.0,100.0,720.0,,,
영업이익률,3.89,4.29,0.31,1.82,0.26,,,
순이익률,-3.39,3.12,-3.23,0.69,1.03,,,
ROE(%),-1.9,2.26,-2.3,0.52,,,,
ROA(%),-1.44,1.63,-1.91,0.39,,,,
부채비율,33.9,35.47,33.66,31.47,73.55,,,
자본유보율,1279.41,1331.83,1295.8,1309.8,1373.59,,,
EPS(원),-243.0,243.0,-186.0,41.0,323.0,,,
PER(배),-18.07,16.07,-23.63,97.87,12.1,,,
BPS(원),13761.0,8729.0,8489.0,8920.0,10624.0,,,
PBR(배),0.32,0.45,0.52,0.45,0.37,,,
현금DPS(원),60.0,70.0,70.0,70.0,200.0,,,
현금배당수익률,1.37,1.79,1.59,1.75,5.12,,,
현금배당성향(%),-23.6,27.59,-34.82,153.36,55.55,,,
발행주식수(보통주),15611619.0,15611619.0,15611619.0,15611619.0,15611619.0,,,
