주요재무정보,2013/06,2014/06,2015/06,2016/06,2017/06,2018/06(E),2019/06(E),2020/06(E)
매출액,7841.0,7777.0,8584.0,9339.0,8820.0,,,
영업이익,120.0,261.0,384.0,268.0,91.0,,,
영업이익(발표기준),120.0,261.0,384.0,268.0,91.0,,,
세전계속사업이익,40.0,57.0,152.0,69.0,32.0,,,
당기순이익,1.0,22.0,68.0,14.0,79.0,,,
당기순이익(지배),1.0,22.0,68.0,14.0,79.0,,,
당기순이익(비지배),,,,,,,,
자산총계,6287.0,6280.0,6714.0,6927.0,6313.0,,,
부채총계,4253.0,4275.0,4605.0,4810.0,4064.0,,,
자본총계,2033.0,2005.0,2109.0,2116.0,2248.0,,,
자본총계(지배),2033.0,2005.0,2109.0,2116.0,2248.0,,,
자본총계(비지배),,,,,,,,
자본금,719.0,719.0,719.0,719.0,719.0,,,
영업활동현금흐름,-179.0,391.0,153.0,-244.0,603.0,,,
투자활동현금흐름,-166.0,-354.0,-342.0,-302.0,-232.0,,,
재무활동현금흐름,412.0,125.0,217.0,332.0,-410.0,,,
CAPEX,393.0,232.0,245.0,286.0,215.0,,,
FCF,-572.0,159.0,-91.0,-530.0,388.0,,,
이자발생부채,2744.0,2890.0,3108.0,3471.0,2996.0,,,
영업이익률,1.53,3.36,4.48,2.87,1.04,,,
순이익률,0.01,0.28,0.79,0.15,0.9,,,
ROE(%),0.06,1.06,3.3,0.65,3.62,,,
ROA(%),0.02,0.34,1.04,0.2,1.2,,,
부채비율,209.16,213.28,218.33,227.29,180.77,,,
자본유보율,188.83,192.87,201.43,202.17,213.22,,,
EPS(원),1.0,15.0,47.0,10.0,55.0,,,
PER(배),1689.5,71.5,36.84,151.62,19.44,,,
BPS(원),1415.0,1395.0,1468.0,1473.0,1565.0,,,
PBR(배),0.93,0.77,1.19,0.98,0.68,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),,0.0,0.0,0.0,,,,
발행주식수(보통주),143708390.0,143708390.0,143708390.0,143708390.0,143708390.0,,,
