주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,548.0,587.0,301.0,299.0,296.0,,,
영업이익,-64.0,33.0,-28.0,-56.0,-51.0,,,
영업이익(발표기준),-64.0,33.0,-79.0,-56.0,-51.0,,,
세전계속사업이익,-144.0,11.0,-36.0,-102.0,-30.0,,,
당기순이익,-135.0,11.0,-87.0,-174.0,-30.0,,,
당기순이익(지배),-135.0,11.0,-87.0,-174.0,-30.0,,,
당기순이익(비지배),,,,0.0,0.0,,,
자산총계,518.0,521.0,522.0,596.0,548.0,,,
부채총계,405.0,397.0,432.0,481.0,335.0,,,
자본총계,113.0,124.0,90.0,115.0,213.0,,,
자본총계(지배),113.0,124.0,90.0,114.0,213.0,,,
자본총계(비지배),,,,0.0,0.0,,,
자본금,59.0,59.0,59.0,85.0,121.0,,,
영업활동현금흐름,50.0,26.0,-25.0,-36.0,-134.0,,,
투자활동현금흐름,-38.0,-2.0,3.0,-9.0,-100.0,,,
재무활동현금흐름,-29.0,-25.0,20.0,188.0,112.0,,,
CAPEX,1.0,4.0,2.0,1.0,1.0,,,
FCF,49.0,21.0,-28.0,-37.0,-135.0,,,
이자발생부채,258.0,233.0,253.0,212.0,190.0,,,
영업이익률,-11.66,5.63,-9.25,-18.65,-17.09,,,
순이익률,-24.61,1.95,-28.81,-58.43,-10.06,,,
ROE(%),-74.77,9.67,-81.05,,-18.12,,,
ROA(%),-22.25,2.2,-16.63,,-5.21,,,
부채비율,359.62,320.03,480.12,418.79,157.03,,,
자본유보율,-5.65,13.53,-44.08,-59.92,14.1,,,
EPS(원),-1143.0,97.0,-736.0,-1258.0,-165.0,,,
PER(배),-1.2,24.06,-2.54,-3.12,-55.91,,,
BPS(원),957.0,1054.0,765.0,675.0,879.0,,,
PBR(배),1.43,2.22,2.44,5.81,10.47,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),11787198.0,11787198.0,11787198.0,16981103.0,18955681.0,,,
