주요재무정보,Unnamed: 1,Unnamed: 2,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,1351.0,2747.0,,,
영업이익,,,,60.0,203.0,,,
영업이익(발표기준),,,,60.0,203.0,,,
세전계속사업이익,,,,67.0,154.0,,,
당기순이익,,,,58.0,115.0,,,
당기순이익(지배),,,,58.0,115.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,,,1915.0,1960.0,,,
부채총계,,,,878.0,809.0,,,
자본총계,,,,1037.0,1151.0,,,
자본총계(지배),,,,1037.0,1151.0,,,
자본총계(비지배),,,,,,,,
자본금,,,,23.0,23.0,,,
영업활동현금흐름,,,,126.0,335.0,,,
투자활동현금흐름,,,,-102.0,-162.0,,,
재무활동현금흐름,,,,-66.0,-119.0,,,
CAPEX,,,,94.0,122.0,,,
FCF,,,,33.0,213.0,,,
이자발생부채,,,,513.0,402.0,,,
영업이익률,,,,4.47,7.38,,,
순이익률,,,,4.26,4.19,,,
ROE(%),,,,,10.51,,,
ROA(%),,,,,5.93,,,
부채비율,,,,84.71,70.34,,,
자본유보율,,,,4478.73,4952.47,,,
EPS(원),,,,2505.0,2517.0,,,
PER(배),,,,12.21,13.86,,,
BPS(원),,,,22707.0,25194.0,,,
PBR(배),,,,1.35,1.39,,,
현금DPS(원),,,,200.0,200.0,,,
현금배당수익률,,,,0.65,0.57,,,
현금배당성향(%),,,,15.87,7.94,,,
발행주식수(보통주),,,,4568286.0,4568286.0,,,
