주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,5469.0,4797.0,3728.0,3389.0,3545.0,,,
영업이익,112.0,-68.0,-77.0,-25.0,-448.0,,,
영업이익(발표기준),112.0,-68.0,-77.0,-25.0,-448.0,,,
세전계속사업이익,111.0,-89.0,-99.0,14.0,-575.0,,,
당기순이익,82.0,-100.0,-95.0,25.0,-572.0,,,
당기순이익(지배),82.0,-100.0,-95.0,25.0,-572.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3024.0,2947.0,3035.0,2882.0,2551.0,,,
부채총계,975.0,1014.0,1199.0,1027.0,1262.0,,,
자본총계,2049.0,1932.0,1836.0,1855.0,1289.0,,,
자본총계(지배),2049.0,1932.0,1836.0,1855.0,1289.0,,,
자본총계(비지배),,,,,,,,
자본금,450.0,450.0,450.0,450.0,450.0,,,
영업활동현금흐름,174.0,-201.0,-156.0,-42.0,-7.0,,,
투자활동현금흐름,-162.0,-50.0,-99.0,254.0,-65.0,,,
재무활동현금흐름,-9.0,178.0,254.0,-193.0,75.0,,,
CAPEX,270.0,99.0,100.0,57.0,93.0,,,
FCF,-96.0,-300.0,-256.0,-99.0,-99.0,,,
이자발생부채,102.0,302.0,568.0,395.0,496.0,,,
영업이익률,2.04,-1.41,-2.07,-0.72,-12.63,,,
순이익률,1.5,-2.08,-2.55,0.73,-16.13,,,
ROE(%),4.06,-5.01,-5.04,1.33,-36.36,,,
ROA(%),2.75,-3.34,-3.17,0.83,-21.05,,,
부채비율,47.61,52.49,65.28,55.34,97.87,,,
자본유보율,362.84,335.48,313.28,318.21,189.66,,,
EPS(원),182.0,-222.0,-211.0,55.0,-1270.0,,,
PER(배),15.22,-8.24,-8.58,37.69,-2.43,,,
BPS(원),4553.0,4294.0,4081.0,4123.0,2865.0,,,
PBR(배),0.61,0.43,0.44,0.5,1.08,,,
현금DPS(원),40.0,0.0,0.0,20.0,,,,
현금배당수익률,1.44,0.0,0.0,0.97,,,,
현금배당성향(%),21.97,0.0,0.0,36.6,,,,
발행주식수(보통주),45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,,,
