주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,408.0,445.0,396.0,424.0,364.0,,,
영업이익,19.0,25.0,16.0,8.0,17.0,,,
영업이익(발표기준),19.0,25.0,16.0,8.0,17.0,,,
세전계속사업이익,15.0,15.0,11.0,9.0,3.0,,,
당기순이익,11.0,3.0,6.0,4.0,4.0,,,
당기순이익(지배),11.0,3.0,6.0,4.0,4.0,,,
당기순이익(비지배),,,,,,,,
자산총계,335.0,362.0,370.0,392.0,403.0,,,
부채총계,32.0,59.0,53.0,73.0,81.0,,,
자본총계,302.0,304.0,317.0,319.0,322.0,,,
자본총계(지배),302.0,304.0,317.0,319.0,322.0,,,
자본총계(비지배),,,,,,,,
자본금,118.0,118.0,118.0,118.0,118.0,,,
영업활동현금흐름,25.0,6.0,12.0,-3.0,-14.0,,,
투자활동현금흐름,30.0,-57.0,-11.0,7.0,-29.0,,,
재무활동현금흐름,,4.0,-4.0,,70.0,,,
CAPEX,2.0,2.0,10.0,5.0,3.0,,,
FCF,22.0,4.0,2.0,-8.0,-17.0,,,
이자발생부채,,4.0,,,67.0,,,
영업이익률,4.57,5.58,4.0,1.85,4.6,,,
순이익률,2.78,0.58,1.58,1.01,1.23,,,
ROE(%),3.81,0.85,2.01,1.35,1.39,,,
ROA(%),3.44,0.74,1.71,1.13,1.12,,,
부채비율,10.62,19.28,16.71,22.98,25.13,,,
자본유보율,159.86,161.72,167.11,170.67,177.42,,,
EPS(원),48.0,11.0,26.0,18.0,19.0,,,
PER(배),22.24,96.45,85.3,122.63,95.48,,,
BPS(원),1277.0,1282.0,1337.0,1346.0,1361.0,,,
PBR(배),0.83,0.82,1.68,1.65,1.32,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),23690705.0,23690705.0,23690705.0,23690705.0,23690705.0,,,
