주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1243.0,1222.0,1068.0,947.0,1076.0,,,
영업이익,38.0,91.0,82.0,56.0,11.0,,,
영업이익(발표기준),38.0,91.0,82.0,56.0,11.0,,,
세전계속사업이익,51.0,89.0,81.0,61.0,17.0,,,
당기순이익,37.0,63.0,66.0,48.0,14.0,,,
당기순이익(지배),37.0,63.0,66.0,48.0,14.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1219.0,1375.0,1446.0,1468.0,1502.0,,,
부채총계,234.0,271.0,162.0,158.0,189.0,,,
자본총계,985.0,1104.0,1284.0,1310.0,1313.0,,,
자본총계(지배),985.0,1104.0,1284.0,1310.0,1313.0,,,
자본총계(비지배),,,,,,,,
자본금,25.0,50.0,75.0,75.0,75.0,,,
영업활동현금흐름,200.0,112.0,91.0,92.0,6.0,,,
투자활동현금흐름,-34.0,-30.0,-97.0,-204.0,-11.0,,,
재무활동현금흐름,-155.0,3.0,84.0,5.0,10.0,,,
CAPEX,12.0,30.0,97.0,69.0,30.0,,,
FCF,188.0,82.0,-6.0,23.0,-24.0,,,
이자발생부채,59.0,65.0,3.0,7.0,18.0,,,
영업이익률,3.07,7.48,7.67,5.87,0.99,,,
순이익률,3.0,5.17,6.16,5.01,1.27,,,
ROE(%),3.9,6.05,5.51,3.66,1.05,,,
ROA(%),2.94,4.87,4.66,3.26,0.92,,,
부채비율,23.76,24.57,12.58,12.06,14.37,,,
자본유보율,3783.43,1962.19,1555.6,1612.63,1627.98,,,
EPS(원),374.0,632.0,577.0,317.0,91.0,,,
PER(배),0.0,,5.38,11.89,35.72,,,
BPS(원),9849.0,11038.0,8562.0,8734.0,8754.0,,,
PBR(배),0.0,0.0,0.36,0.43,0.37,,,
현금DPS(원),0.0,0.0,20.0,20.0,10.0,,,
현금배당수익률,,,0.64,0.53,0.31,,,
현금배당성향(%),0.0,0.0,4.56,6.31,10.94,,,
발행주식수(보통주),10000000.0,10000000.0,15000000.0,15000000.0,15000000.0,,,
