주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,29246.0,39283.0,42720.0,41702.0,43220.0,,,
영업이익,420.0,1517.0,1228.0,1168.0,640.0,,,
영업이익(발표기준),420.0,1517.0,1228.0,1168.0,640.0,,,
세전계속사업이익,415.0,1571.0,1255.0,1224.0,2333.0,,,
당기순이익,287.0,1210.0,1224.0,780.0,2211.0,,,
당기순이익(지배),289.0,1210.0,1223.0,780.0,2211.0,,,
당기순이익(비지배),-1.0,0.0,0.0,,,,,
자산총계,215195.0,246811.0,272203.0,286441.0,355208.0,,,
부채총계,205505.0,231830.0,253630.0,267639.0,334692.0,,,
자본총계,9689.0,14981.0,18573.0,18802.0,20516.0,,,
자본총계(지배),9687.0,14978.0,18570.0,18802.0,20516.0,,,
자본총계(비지배),2.0,3.0,3.0,,,,,
자본금,6315.0,6315.0,8315.0,8315.0,8315.0,,,
영업활동현금흐름,15615.0,-996.0,19970.0,13503.0,9896.0,,,
투자활동현금흐름,-18003.0,1072.0,-19923.0,-14664.0,-9252.0,,,
재무활동현금흐름,-86.0,762.0,459.0,712.0,-1301.0,,,
CAPEX,61.0,144.0,2695.0,198.0,378.0,,,
FCF,,,,,,,,
이자발생부채,3074.0,1728.0,1606.0,1360.0,1290.0,,,
영업이익률,1.44,3.86,2.88,2.8,1.48,,,
순이익률,0.98,3.08,2.86,1.87,5.12,,,
ROE(%),2.59,9.81,7.29,4.17,11.25,,,
ROA(%),0.14,0.52,0.47,0.28,0.69,,,
부채비율,2120.97,1547.51,1365.57,1423.47,1631.37,,,
자본유보율,53.42,137.21,124.59,127.34,147.95,,,
EPS(원),216.0,907.0,797.0,459.0,1330.0,,,
PER(배),,,6.33,11.21,3.95,,,
BPS(원),7264.0,11232.0,10819.0,11422.0,12464.0,,,
PBR(배),0.0,0.0,0.47,0.45,0.42,,,
현금DPS(원),0.0,100.0,55.0,55.0,170.0,174.0,196.0,221.0
현금배당수익률,,,1.09,1.07,3.24,3.36,3.79,4.26
현금배당성향(%),52.23,25.22,22.8,29.36,17.82,,,
발행주식수(보통주),105180000.0,105180000.0,145180000.0,145180000.0,145180000.0,,,
