주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2112.0,2823.0,2960.0,2636.0,2461.0,2650.0,,
영업이익,55.0,103.0,90.0,78.0,88.0,100.0,,
영업이익(발표기준),55.0,103.0,90.0,78.0,88.0,,,
세전계속사업이익,323.0,192.0,19.0,46.0,172.0,250.0,,
당기순이익,272.0,155.0,23.0,28.0,136.0,200.0,,
당기순이익(지배),270.0,154.0,23.0,43.0,121.0,168.0,,
당기순이익(비지배),2.0,1.0,0.0,-15.0,15.0,,,
자산총계,2183.0,2440.0,2444.0,2829.0,2669.0,,,
부채총계,626.0,595.0,573.0,804.0,679.0,,,
자본총계,1557.0,1845.0,1871.0,2025.0,1990.0,,,
자본총계(지배),1462.0,1723.0,1690.0,1795.0,1738.0,,,
자본총계(비지배),95.0,122.0,181.0,230.0,251.0,,,
자본금,67.0,67.0,135.0,135.0,135.0,,,
영업활동현금흐름,53.0,86.0,378.0,-66.0,21.0,,,
투자활동현금흐름,-9.0,-137.0,-117.0,-153.0,-13.0,,,
재무활동현금흐름,35.0,110.0,3.0,-11.0,-58.0,,,
CAPEX,3.0,5.0,2.0,2.0,13.0,,,
FCF,50.0,80.0,375.0,-68.0,8.0,,,
이자발생부채,110.0,104.0,165.0,243.0,236.0,,,
영업이익률,2.62,3.66,3.04,2.97,3.57,3.77,,
순이익률,12.85,5.49,0.77,1.07,5.54,7.55,,
ROE(%),20.41,9.64,1.36,2.48,6.88,,,
ROA(%),13.38,6.7,0.93,1.06,4.95,,,
부채비율,40.23,32.23,30.63,39.71,34.15,,,
자본유보율,2172.64,2472.35,1130.33,1128.7,1181.95,,,
EPS(원),1008.0,570.0,86.0,160.0,449.0,619.0,,
PER(배),7.04,8.57,44.14,45.86,21.51,13.59,,
BPS(원),5570.0,6399.0,6361.0,6747.0,6532.0,,,
PBR(배),1.27,0.76,0.6,1.09,1.48,,,
현금DPS(원),0.0,375.0,200.0,80.0,100.0,,,
현금배당수익률,0.0,7.68,5.27,1.09,1.04,,,
현금배당성향(%),0.0,65.78,228.99,49.3,21.91,,,
발행주식수(보통주),26849120.0,26958990.0,26999207.0,27039689.0,27049809.0,,,
