주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,771.0,620.0,572.0,702.0,613.0,,,
영업이익,-8.0,15.0,26.0,6.0,-18.0,,,
영업이익(발표기준),-8.0,15.0,26.0,6.0,-18.0,,,
세전계속사업이익,-26.0,10.0,25.0,8.0,-26.0,,,
당기순이익,-20.0,5.0,19.0,6.0,-21.0,,,
당기순이익(지배),-20.0,5.0,19.0,6.0,-21.0,,,
당기순이익(비지배),,,,,,,,
자산총계,814.0,744.0,696.0,701.0,702.0,,,
부채총계,437.0,365.0,302.0,308.0,334.0,,,
자본총계,377.0,378.0,394.0,393.0,368.0,,,
자본총계(지배),377.0,378.0,394.0,393.0,368.0,,,
자본총계(비지배),,,,,,,,
자본금,61.0,61.0,61.0,61.0,61.0,,,
영업활동현금흐름,-6.0,41.0,61.0,44.0,19.0,,,
투자활동현금흐름,6.0,-3.0,5.0,3.0,-5.0,,,
재무활동현금흐름,-49.0,-64.0,-51.0,-36.0,-8.0,,,
CAPEX,1.0,0.0,1.0,1.0,6.0,,,
FCF,-7.0,41.0,61.0,43.0,14.0,,,
이자발생부채,332.0,270.0,222.0,190.0,185.0,,,
영업이익률,-1.06,2.38,4.6,0.86,-2.95,,,
순이익률,-2.59,0.82,3.38,0.82,-3.39,,,
ROE(%),-5.14,1.34,5.0,1.46,-5.46,,,
ROA(%),-2.29,0.65,2.69,0.83,-2.96,,,
부채비율,115.89,96.61,76.51,78.27,90.69,,,
자본유보율,520.99,522.68,549.03,547.86,506.53,,,
EPS(원),-1645.0,416.0,1590.0,474.0,-1711.0,,,
PER(배),-6.38,29.08,13.2,55.12,-10.05,,,
BPS(원),31045.0,31128.0,32445.0,32387.0,30320.0,,,
PBR(배),0.34,0.39,0.65,0.81,0.57,,,
현금DPS(원),150.0,200.0,350.0,250.0,100.0,,,
현금배당수익률,1.43,1.65,1.67,0.96,0.58,,,
현금배당성향(%),-9.12,48.07,22.01,52.7,-5.85,,,
발행주식수(보통주),1214878.0,1214878.0,1214878.0,1214878.0,1214878.0,,,
