주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,13916.0,12518.0,11751.0,10965.0,11224.0,,,
영업이익,208.0,182.0,241.0,127.0,281.0,,,
영업이익(발표기준),208.0,182.0,241.0,127.0,281.0,,,
세전계속사업이익,163.0,229.0,259.0,187.0,347.0,,,
당기순이익,129.0,182.0,205.0,144.0,267.0,,,
당기순이익(지배),129.0,182.0,205.0,145.0,269.0,,,
당기순이익(비지배),,,,-1.0,-1.0,,,
자산총계,5041.0,5200.0,5162.0,5304.0,5572.0,,,
부채총계,1497.0,1518.0,1306.0,1325.0,1358.0,,,
자본총계,3543.0,3682.0,3856.0,3980.0,4214.0,,,
자본총계(지배),3543.0,3682.0,3856.0,3976.0,4212.0,,,
자본총계(비지배),,,,3.0,2.0,,,
자본금,497.0,497.0,497.0,497.0,497.0,,,
영업활동현금흐름,746.0,628.0,799.0,567.0,307.0,,,
투자활동현금흐름,-28.0,-98.0,-101.0,-327.0,-193.0,,,
재무활동현금흐름,-861.0,-295.0,-221.0,-244.0,189.0,,,
CAPEX,42.0,104.0,115.0,358.0,193.0,,,
FCF,704.0,524.0,684.0,209.0,115.0,,,
이자발생부채,937.0,655.0,465.0,257.0,455.0,,,
영업이익률,1.49,1.46,2.05,1.16,2.51,,,
순이익률,0.93,1.45,1.74,1.31,2.38,,,
ROE(%),3.72,5.03,5.43,,6.56,,,
ROA(%),2.43,3.55,3.95,,4.91,,,
부채비율,42.27,41.22,33.87,33.28,32.22,,,
자본유보율,628.51,656.53,691.56,715.79,763.21,,,
EPS(원),261.0,366.0,412.0,292.0,541.0,,,
PER(배),26.48,24.81,24.65,28.78,19.8,,,
BPS(원),7389.0,7680.0,8042.0,8293.0,8784.0,,,
PBR(배),0.93,1.18,1.26,1.01,1.22,,,
현금DPS(원),50.0,60.0,60.0,45.0,80.0,,,
현금배당수익률,0.72,0.66,0.59,0.54,0.75,,,
현금배당성향(%),14.22,12.78,14.07,14.88,14.29,,,
발행주식수(보통주),49678843.0,49678843.0,49678843.0,49678843.0,49678843.0,,,
