주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,1485.0,1896.0,1706.0,2172.0,9905.0,,,
영업이익,-117.0,-30.0,76.0,-97.0,-57.0,,,
영업이익(발표기준),-117.0,-30.0,76.0,-97.0,-57.0,,,
세전계속사업이익,-262.0,-118.0,-24.0,48.0,-389.0,,,
당기순이익,-266.0,-114.0,-39.0,32.0,-392.0,,,
당기순이익(지배),-266.0,-114.0,-39.0,33.0,-391.0,,,
당기순이익(비지배),,,,-1.0,-1.0,,,
자산총계,2951.0,3416.0,3138.0,6940.0,6829.0,,,
부채총계,2510.0,2914.0,2564.0,5717.0,6010.0,,,
자본총계,442.0,503.0,574.0,1223.0,818.0,,,
자본총계(지배),442.0,503.0,574.0,1223.0,819.0,,,
자본총계(비지배),,,,0.0,-1.0,,,
자본금,283.0,360.0,379.0,866.0,866.0,,,
영업활동현금흐름,-17.0,-143.0,72.0,620.0,-171.0,,,
투자활동현금흐름,8.0,-54.0,-148.0,-266.0,-220.0,,,
재무활동현금흐름,12.0,290.0,-23.0,-320.0,132.0,,,
CAPEX,18.0,47.0,147.0,206.0,183.0,,,
FCF,-35.0,-190.0,-75.0,414.0,-354.0,,,
이자발생부채,2017.0,2171.0,2076.0,1981.0,2409.0,,,
영업이익률,-7.88,-1.59,4.47,-4.49,-0.57,,,
순이익률,-17.9,-6.01,-2.27,1.46,-3.96,,,
ROE(%),-47.76,-24.12,-7.21,,-38.33,,,
ROA(%),-8.63,-3.58,-1.18,,-5.69,,,
부채비율,568.44,579.43,447.07,467.56,734.68,,,
자본유보율,66.82,36.6,48.0,118.95,76.48,,,
EPS(원),-427.0,-181.0,-47.0,34.0,-226.0,,,
PER(배),-2.43,-5.17,-39.26,65.16,-8.47,,,
BPS(원),725.0,636.0,697.0,707.0,697.0,,,
PBR(배),1.43,1.47,2.66,3.13,2.75,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),61393455.0,78294468.0,82331835.0,172993713.0,172993713.0,,,
