주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,660393.0,658607.0,483563.0,395205.0,462609.0,532071.0,551106.0,554155.0
영업이익,14064.0,-1828.0,19796.0,32283.0,32344.0,29774.0,32282.0,33984.0
영업이익(발표기준),13829.0,-2313.0,19796.0,32283.0,32344.0,,,
세전계속사업이익,11391.0,-4367.0,16541.0,24234.0,32348.0,28004.0,31414.0,32770.0
당기순이익,7787.0,-5372.0,8677.0,17214.0,21451.0,19930.0,22595.0,23909.0
당기순이익(지배),7299.0,-5888.0,8149.0,16713.0,21038.0,19465.0,22089.0,23378.0
당기순이익(비지배),488.0,517.0,527.0,501.0,413.0,,,
자산총계,352889.0,351013.0,313598.0,325813.0,342436.0,354976.0,377399.0,392982.0
부채총계,183736.0,190403.0,143135.0,142763.0,149343.0,151678.0,158800.0,159129.0
자본총계,169153.0,160611.0,170463.0,183050.0,193093.0,203169.0,218440.0,233824.0
자본총계(지배),158395.0,150003.0,158897.0,171032.0,180858.0,190762.0,205665.0,220639.0
자본총계(비지배),10758.0,10607.0,11566.0,12019.0,12236.0,,,
자본금,4686.0,4686.0,4686.0,4686.0,4686.0,4688.0,4688.0,4688.0
영업활동현금흐름,13790.0,9271.0,40857.0,36778.0,21802.0,25639.0,29944.0,33520.0
투자활동현금흐름,-19791.0,-25694.0,-13454.0,-20561.0,-10661.0,-18286.0,-21411.0,-20327.0
재무활동현금흐름,6346.0,17099.0,-27683.0,-20186.0,-16707.0,-9806.0,-3662.0,-7783.0
CAPEX,27234.0,16351.0,4488.0,6070.0,9384.0,17919.0,18359.0,18575.0
FCF,-13444.0,-7080.0,36369.0,30708.0,12418.0,6312.0,10054.0,11465.0
이자발생부채,88825.0,109752.0,81748.0,65697.0,55779.0,,,
영업이익률,2.13,-0.28,4.09,8.17,6.99,5.6,5.86,6.13
순이익률,1.18,-0.82,1.79,4.36,4.64,3.75,4.1,4.32
ROE(%),4.68,-3.82,5.28,10.13,11.96,10.48,11.14,10.97
ROA(%),2.25,-1.53,2.61,5.38,6.42,5.71,6.17,6.21
부채비율,108.62,118.55,83.97,77.99,77.34,74.66,72.7,68.05
자본유보율,3292.66,3100.74,3272.47,3533.1,3800.39,,,
EPS(원),7789.0,-6283.0,8696.0,17834.0,22449.0,20771.0,23571.0,24947.0
PER(배),18.17,-13.54,14.95,8.21,9.11,9.29,8.19,7.74
BPS(원),169965.0,160961.0,170504.0,183525.0,194069.0,216255.0,233150.0,250125.0
PBR(배),0.83,0.53,0.76,0.8,1.05,0.89,0.83,0.77
현금DPS(원),3200.0,0.0,4800.0,6400.0,8000.0,8043.0,8678.0,9112.0
현금배당수익률,2.26,0.0,3.69,4.37,3.91,4.17,4.5,4.72
현금배당성향(%),40.86,0.0,54.9,35.69,35.44,0.38,0.36,0.36
발행주식수(보통주),92465564.0,92465564.0,92465564.0,92465564.0,92465564.0,,,
