주요재무정보,2013,2014,2015,2016,2017,2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,12082.0,14002.0,19037.0,18608.0,17613.0,,,
영업이익,514.0,720.0,1122.0,876.0,43.0,,,
영업이익(발표기준),514.0,720.0,1122.0,876.0,43.0,,,
세전계속사업이익,417.0,627.0,1049.0,834.0,-251.0,,,
당기순이익,538.0,506.0,830.0,771.0,-86.0,,,
당기순이익(지배),538.0,506.0,830.0,771.0,-86.0,,,
당기순이익(비지배),,,,,,,,
자산총계,14535.0,16259.0,17543.0,17915.0,20068.0,,,
부채총계,11182.0,12678.0,11772.0,11598.0,14028.0,,,
자본총계,3353.0,3581.0,5771.0,6316.0,6040.0,,,
자본총계(지배),3353.0,3581.0,5771.0,6316.0,6040.0,,,
자본총계(비지배),,,,,,,,
자본금,1000.0,1000.0,1100.0,1100.0,1100.0,,,
영업활동현금흐름,1757.0,635.0,90.0,-1077.0,-364.0,,,
투자활동현금흐름,-677.0,-749.0,-649.0,-996.0,-1150.0,,,
재무활동현금흐름,-707.0,-281.0,866.0,1844.0,2285.0,,,
CAPEX,692.0,547.0,409.0,822.0,1029.0,,,
FCF,1065.0,88.0,-319.0,-1898.0,-1393.0,,,
이자발생부채,1217.0,1070.0,555.0,2606.0,5099.0,,,
영업이익률,4.25,5.14,5.89,4.71,0.24,,,
순이익률,4.45,3.61,4.36,4.14,-0.49,,,
ROE(%),,14.58,17.76,12.75,-1.4,,,
ROA(%),,3.28,4.91,4.35,-0.45,,,
부채비율,333.44,354.02,203.99,183.62,232.26,,,
자본유보율,235.34,258.06,424.51,474.16,449.02,,,
EPS(원),2689.0,2528.0,4043.0,3502.0,-392.0,,,
PER(배),,,25.6,22.98,-152.48,,,
BPS(원),16767.0,17906.0,26231.0,28711.0,27454.0,,,
PBR(배),0.0,0.0,3.95,2.8,2.18,,,
현금DPS(원),670.0,630.0,940.0,940.0,500.0,500.0,500.0,500.0
현금배당수익률,,,0.91,1.17,0.84,1.5,1.5,1.5
현금배당성향(%),24.92,24.92,24.91,26.84,-127.49,,,
발행주식수(보통주),20000000.0,20000000.0,22000000.0,22000000.0,22000000.0,,,
