주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,2702.0,2296.0,2750.0,3247.0,3990.0,,,
영업이익,68.0,19.0,45.0,149.0,165.0,,,
영업이익(발표기준),68.0,19.0,45.0,149.0,165.0,,,
세전계속사업이익,71.0,40.0,244.0,152.0,154.0,,,
당기순이익,55.0,31.0,178.0,13.0,117.0,,,
당기순이익(지배),55.0,31.0,178.0,13.0,117.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3376.0,3336.0,3134.0,3085.0,3286.0,,,
부채총계,1189.0,1197.0,835.0,824.0,928.0,,,
자본총계,2187.0,2139.0,2299.0,2261.0,2358.0,,,
자본총계(지배),2187.0,2139.0,2299.0,2261.0,2358.0,,,
자본총계(비지배),,,,,,,,
자본금,169.0,169.0,169.0,169.0,169.0,,,
영업활동현금흐름,195.0,27.0,138.0,97.0,115.0,,,
투자활동현금흐름,-61.0,0.0,484.0,-24.0,-73.0,,,
재무활동현금흐름,-194.0,-49.0,-578.0,-50.0,20.0,,,
CAPEX,27.0,26.0,17.0,14.0,69.0,,,
FCF,168.0,1.0,122.0,83.0,47.0,,,
이자발생부채,556.0,551.0,5.0,5.0,46.0,,,
영업이익률,2.51,0.84,1.65,4.58,4.14,,,
순이익률,2.03,1.33,6.47,0.39,2.94,,,
ROE(%),2.53,1.41,8.02,0.55,,,,
ROA(%),1.61,0.91,5.5,0.41,,,,
부채비율,54.38,55.98,36.32,36.47,39.37,,,
자본유보율,1209.79,1199.88,1282.65,1259.2,1299.63,,,
EPS(원),163.0,91.0,528.0,37.0,347.0,,,
PER(배),30.07,47.61,8.13,130.4,14.24,,,
BPS(원),6568.0,6467.0,6952.0,6839.0,6992.0,,,
PBR(배),0.75,0.67,0.62,0.71,0.71,,,
현금DPS(원),100.0,100.0,150.0,170.0,190.0,,,
현금배당수익률,2.04,2.32,3.5,3.48,3.84,,,
현금배당성향(%),60.59,108.34,27.89,444.84,54.69,,,
발행주식수(보통주),33720000.0,33720000.0,33720000.0,33720000.0,33720000.0,,,
