주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,7443.0,6868.0,6071.0,6239.0,6631.0,,,
영업이익,456.0,165.0,-798.0,263.0,563.0,,,
영업이익(발표기준),456.0,165.0,-798.0,263.0,563.0,,,
세전계속사업이익,36.0,-623.0,-1440.0,-331.0,97.0,,,
당기순이익,-31.0,-617.0,-1198.0,-305.0,57.0,,,
당기순이익(지배),-31.0,-617.0,-1198.0,-305.0,57.0,,,
당기순이익(비지배),,,,,,,,
자산총계,8234.0,7655.0,6391.0,6065.0,6627.0,,,
부채총계,7043.0,7086.0,7037.0,5851.0,5845.0,,,
자본총계,1191.0,569.0,-646.0,214.0,782.0,,,
자본총계(지배),1191.0,569.0,-646.0,214.0,782.0,,,
자본총계(비지배),,,,,,,,
자본금,1000.0,1000.0,1000.0,1078.0,1355.0,,,
영업활동현금흐름,491.0,330.0,220.0,175.0,355.0,,,
투자활동현금흐름,-54.0,-10.0,-209.0,-171.0,-684.0,,,
재무활동현금흐름,-402.0,-332.0,-79.0,138.0,497.0,,,
CAPEX,1.0,1.0,1.0,1.0,5.0,,,
FCF,490.0,329.0,219.0,174.0,351.0,,,
이자발생부채,4335.0,4003.0,3923.0,2865.0,3083.0,,,
영업이익률,6.12,2.4,-13.14,4.22,8.49,,,
순이익률,-0.41,-8.99,-19.73,-4.9,0.86,,,
ROE(%),-2.55,-70.12,3122.57,141.45,11.49,,,
ROA(%),-0.35,-7.77,-17.06,-4.9,0.9,,,
부채비율,591.23,1244.74,-1089.34,2731.02,747.22,,,
자본유보율,15.69,-46.88,-167.17,-82.7,-45.59,,,
EPS(원),-372.0,-7514.0,-14583.0,-1559.0,218.0,,,
PER(배),-10.86,-0.54,-0.65,-4.03,27.05,,,
BPS(원),14503.0,6930.0,-7865.0,994.0,2886.0,,,
PBR(배),0.28,0.58,-1.2,6.33,2.04,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),8215000.0,8215000.0,8215000.0,21550000.0,21550000.0,,,
