주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2202.0,2135.0,2232.0,2375.0,2589.0,,,
영업이익,21.0,53.0,48.0,113.0,110.0,,,
영업이익(발표기준),21.0,78.0,48.0,113.0,110.0,,,
세전계속사업이익,9.0,54.0,60.0,357.0,652.0,,,
당기순이익,10.0,49.0,56.0,263.0,470.0,,,
당기순이익(지배),10.0,49.0,56.0,263.0,470.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3162.0,3131.0,3172.0,3246.0,3672.0,,,
부채총계,889.0,833.0,871.0,717.0,703.0,,,
자본총계,2272.0,2297.0,2301.0,2529.0,2969.0,,,
자본총계(지배),2272.0,2297.0,2301.0,2529.0,2969.0,,,
자본총계(비지배),,,,,,,,
자본금,279.0,279.0,279.0,279.0,279.0,,,
영업활동현금흐름,82.0,135.0,198.0,255.0,-165.0,,,
투자활동현금흐름,81.0,-51.0,-10.0,-304.0,163.0,,,
재무활동현금흐름,-62.0,-40.0,-66.0,-42.0,-39.0,,,
CAPEX,32.0,13.0,9.0,10.0,30.0,,,
FCF,50.0,122.0,189.0,245.0,-195.0,,,
이자발생부채,60.0,40.0,20.0,,,,,
영업이익률,0.94,2.5,2.16,4.74,4.24,,,
순이익률,0.46,2.31,2.51,11.06,18.16,,,
ROE(%),0.45,2.16,2.44,10.87,17.1,,,
ROA(%),0.32,1.57,1.78,8.18,13.59,,,
부채비율,39.14,36.28,37.84,28.34,23.67,,,
자본유보율,705.54,716.12,720.34,802.68,955.79,,,
EPS(원),36.0,177.0,201.0,940.0,1683.0,,,
PER(배),121.18,31.51,40.54,8.64,5.79,,,
BPS(원),8135.0,8225.0,8318.0,9143.0,10756.0,,,
PBR(배),0.54,0.68,0.98,0.89,0.91,,,
현금DPS(원),70.0,80.0,80.0,110.0,150.0,,,
현금배당수익률,1.59,1.44,0.98,1.35,1.54,,,
현금배당성향(%),193.23,45.26,39.46,11.59,8.81,,,
발행주식수(보통주),27931470.0,27931470.0,27931470.0,27931470.0,27931470.0,,,
