주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,11082.0,12463.0,15849.0,20016.0,20093.0,20695.0,21600.0,22462.0
영업이익,1608.0,1855.0,1968.0,1794.0,1811.0,2038.0,2202.0,2375.0
영업이익(발표기준),1608.0,1855.0,1968.0,1794.0,1811.0,,,
세전계속사업이익,1628.0,1847.0,1908.0,1538.0,1311.0,1865.0,2088.0,2249.0
당기순이익,1219.0,1433.0,1445.0,1090.0,947.0,1402.0,1565.0,1680.0
당기순이익(지배),1105.0,1281.0,1299.0,1100.0,1087.0,1382.0,1549.0,1639.0
당기순이익(비지배),114.0,152.0,146.0,-10.0,-140.0,,,
자산총계,12123.0,13941.0,22210.0,23897.0,22749.0,24915.0,26404.0,32770.0
부채총계,3103.0,3818.0,8586.0,10122.0,9341.0,9958.0,10515.0,14900.0
자본총계,9020.0,10123.0,13624.0,13775.0,13407.0,14958.0,15890.0,17870.0
자본총계(지배),8514.0,9722.0,11767.0,12450.0,12295.0,13771.0,14700.0,16526.0
자본총계(비지배),506.0,401.0,1858.0,1325.0,1112.0,,,
자본금,222.0,222.0,222.0,222.0,222.0,221.0,221.0,221.0
영업활동현금흐름,1020.0,1947.0,2584.0,1019.0,1591.0,1916.0,1959.0,2127.0
투자활동현금흐름,-1722.0,-929.0,-1671.0,-1022.0,-1627.0,-878.0,-1168.0,-1277.0
재무활동현금흐름,919.0,-680.0,1564.0,88.0,-518.0,240.0,-315.0,-312.0
CAPEX,1093.0,1173.0,564.0,692.0,1443.0,719.0,736.0,680.0
FCF,-74.0,774.0,2020.0,327.0,149.0,1009.0,1095.0,1277.0
이자발생부채,959.0,1106.0,3800.0,5023.0,4329.0,,,
영업이익률,14.51,14.88,12.42,8.96,9.01,9.85,10.2,10.57
순이익률,11.0,11.5,9.12,5.44,4.71,6.77,7.25,7.48
ROE(%),14.8,14.05,12.09,9.08,8.79,10.6,10.88,10.5
ROA(%),11.03,11.0,7.99,4.73,4.06,5.88,6.1,5.68
부채비율,34.4,37.72,63.02,73.48,69.67,66.57,66.17,83.38
자본유보율,4029.83,4473.05,5019.32,5384.08,5824.27,,,
EPS(원),2513.0,2891.0,2931.0,2482.0,2453.0,3119.0,3495.0,3700.0
PER(배),16.91,18.33,14.36,12.35,12.84,11.11,9.91,9.37
BPS(원),19215.0,21940.0,26554.0,28320.0,28029.0,31392.0,33510.0,37673.0
PBR(배),2.21,2.42,1.59,1.08,1.12,1.1,1.03,0.92
현금DPS(원),200.0,200.0,200.0,250.0,300.0,306.0,312.0,314.0
현금배당수익률,0.47,0.38,0.48,0.82,0.95,0.88,0.9,0.91
현금배당성향(%),8.02,6.92,6.82,9.99,12.11,0.1,0.09,0.08
발행주식수(보통주),44311468.0,44311468.0,44311468.0,44311468.0,44311468.0,,,
