주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1655.0,1603.0,1667.0,1564.0,1805.0,,,
영업이익,71.0,92.0,156.0,108.0,72.0,,,
영업이익(발표기준),71.0,92.0,156.0,108.0,72.0,,,
세전계속사업이익,69.0,92.0,157.0,116.0,54.0,,,
당기순이익,51.0,72.0,123.0,92.0,47.0,,,
당기순이익(지배),51.0,72.0,123.0,92.0,47.0,,,
당기순이익(비지배),,,,,,,,
자산총계,984.0,1044.0,1125.0,1378.0,1798.0,,,
부채총계,495.0,519.0,545.0,701.0,1096.0,,,
자본총계,489.0,526.0,580.0,676.0,702.0,,,
자본총계(지배),489.0,526.0,580.0,676.0,702.0,,,
자본총계(비지배),,,,,,,,
자본금,236.0,236.0,236.0,236.0,236.0,,,
영업활동현금흐름,163.0,119.0,148.0,70.0,39.0,,,
투자활동현금흐름,-36.0,-82.0,-73.0,-266.0,-430.0,,,
재무활동현금흐름,-126.0,-42.0,-38.0,214.0,365.0,,,
CAPEX,46.0,122.0,69.0,252.0,375.0,,,
FCF,118.0,-2.0,79.0,-182.0,-336.0,,,
이자발생부채,302.0,289.0,304.0,452.0,837.0,,,
영업이익률,4.28,5.76,9.38,6.92,4.0,,,
순이익률,3.07,4.51,7.37,5.91,2.58,,,
ROE(%),10.87,14.76,22.22,14.71,6.76,,,
ROA(%),4.98,7.8,11.32,7.38,2.94,,,
부채비율,101.27,98.68,94.02,103.68,156.19,,,
자본유보율,107.53,131.18,158.48,199.34,210.1,,,
EPS(원),108.0,153.0,268.0,203.0,103.0,,,
PER(배),8.28,8.36,6.21,9.37,13.51,,,
BPS(원),1035.0,1156.0,1329.0,1550.0,1609.0,,,
PBR(배),0.86,1.11,1.25,1.23,0.86,,,
현금DPS(원),20.0,30.0,50.0,30.0,30.0,,,
현금배당수익률,2.24,2.34,3.0,1.57,2.17,,,
현금배당성향(%),18.59,18.87,17.76,14.16,28.08,,,
발행주식수(보통주),47194666.0,47194666.0,45451006.0,45451006.0,45451006.0,,,
