주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,571.0,602.0,589.0,584.0,552.0,,,
영업이익,13.0,26.0,28.0,11.0,-20.0,,,
영업이익(발표기준),13.0,26.0,28.0,11.0,-20.0,,,
세전계속사업이익,74.0,60.0,57.0,40.0,349.0,,,
당기순이익,59.0,48.0,46.0,25.0,271.0,,,
당기순이익(지배),59.0,48.0,46.0,25.0,271.0,,,
당기순이익(비지배),,,,,,,,
자산총계,603.0,623.0,631.0,525.0,678.0,,,
부채총계,158.0,160.0,139.0,137.0,207.0,,,
자본총계,446.0,463.0,492.0,389.0,471.0,,,
자본총계(지배),446.0,463.0,492.0,389.0,471.0,,,
자본총계(비지배),,,,,,,,
자본금,71.0,71.0,71.0,71.0,71.0,,,
영업활동현금흐름,24.0,40.0,34.0,52.0,-21.0,,,
투자활동현금흐름,-18.0,-47.0,-18.0,64.0,227.0,,,
재무활동현금흐름,,0.0,,-128.0,-204.0,,,
CAPEX,36.0,57.0,36.0,11.0,48.0,,,
FCF,-12.0,-17.0,-2.0,41.0,-69.0,,,
이자발생부채,,,,,,,,
영업이익률,2.34,4.38,4.8,1.85,-3.64,,,
순이익률,10.3,7.99,7.86,4.28,49.06,,,
ROE(%),13.72,10.59,9.7,5.68,63.04,,,
ROA(%),10.01,7.85,7.38,4.32,45.03,,,
부채비율,35.36,34.62,28.23,35.23,43.92,,,
자본유보율,525.16,548.66,589.58,445.08,561.0,,,
EPS(원),4116.0,3365.0,3238.0,1749.0,18964.0,,,
PER(배),8.82,15.25,22.14,51.81,4.99,,,
BPS(원),31237.0,32415.0,34464.0,27228.0,33032.0,,,
PBR(배),1.16,1.58,2.08,3.33,2.87,,,
현금DPS(원),0.0,0.0,6000.0,8000.0,15300.0,,,
현금배당수익률,0.0,0.0,8.37,8.83,16.16,,,
현금배당성향(%),0.0,0.0,185.02,456.81,80.56,,,
발행주식수(보통주),1429220.0,1429220.0,1429220.0,1429220.0,1429220.0,,,
