주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,1191.0,1227.0,1129.0,1078.0,1064.0,,,
영업이익,216.0,208.0,131.0,101.0,49.0,,,
영업이익(발표기준),216.0,208.0,131.0,101.0,49.0,,,
세전계속사업이익,260.0,235.0,67.0,60.0,128.0,,,
당기순이익,197.0,181.0,31.0,9.0,97.0,,,
당기순이익(지배),203.0,185.0,74.0,3.0,87.0,,,
당기순이익(비지배),-6.0,-5.0,-43.0,6.0,9.0,,,
자산총계,2306.0,2440.0,2423.0,2360.0,2404.0,,,
부채총계,143.0,151.0,144.0,134.0,122.0,,,
자본총계,2164.0,2288.0,2279.0,2226.0,2282.0,,,
자본총계(지배),2093.0,2220.0,2254.0,2197.0,2243.0,,,
자본총계(비지배),70.0,68.0,25.0,29.0,40.0,,,
자본금,146.0,146.0,146.0,146.0,146.0,,,
영업활동현금흐름,262.0,179.0,170.0,178.0,73.0,,,
투자활동현금흐름,-91.0,-128.0,44.0,-192.0,-32.0,,,
재무활동현금흐름,-108.0,-58.0,-58.0,-44.0,-39.0,,,
CAPEX,183.0,155.0,182.0,169.0,65.0,,,
FCF,79.0,25.0,-13.0,9.0,8.0,,,
이자발생부채,,,,,5.0,,,
영업이익률,18.12,16.91,11.64,9.41,4.61,,,
순이익률,16.53,14.74,2.74,0.81,9.09,,,
ROE(%),10.06,8.6,3.31,0.13,3.94,,,
ROA(%),8.73,7.62,1.27,0.37,4.06,,,
부채비율,6.6,6.62,6.3,6.01,5.34,,,
자본유보율,1324.62,1398.8,1408.17,1386.7,1430.89,,,
EPS(원),695.0,635.0,254.0,10.0,299.0,,,
PER(배),10.77,12.87,23.44,467.01,15.34,,,
BPS(원),7168.0,7604.0,7719.0,7523.0,7680.0,,,
PBR(배),1.04,1.07,0.77,0.62,0.6,,,
현금DPS(원),200.0,200.0,150.0,150.0,150.0,,,
현금배당수익률,2.67,2.45,2.52,3.2,3.27,,,
현금배당성향(%),28.79,31.5,59.08,1493.62,50.15,,,
발행주식수(보통주),29200000.0,29200000.0,29200000.0,29200000.0,29200000.0,,,
