주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2837.0,2872.0,2915.0,3207.0,3228.0,,,
영업이익,34.0,14.0,47.0,79.0,67.0,,,
영업이익(발표기준),34.0,14.0,47.0,79.0,67.0,,,
세전계속사업이익,29.0,-148.0,39.0,-2.0,22.0,,,
당기순이익,24.0,-122.0,24.0,0.0,26.0,,,
당기순이익(지배),24.0,-122.0,24.0,0.0,26.0,,,
당기순이익(비지배),0.0,-1.0,,,,,,
자산총계,2096.0,2136.0,2146.0,2309.0,2153.0,,,
부채총계,1413.0,1590.0,1612.0,1778.0,1592.0,,,
자본총계,683.0,546.0,534.0,530.0,561.0,,,
자본총계(지배),648.0,513.0,534.0,530.0,561.0,,,
자본총계(비지배),35.0,33.0,,,,,,
자본금,274.0,274.0,274.0,274.0,274.0,,,
영업활동현금흐름,-29.0,-24.0,-135.0,-27.0,98.0,,,
투자활동현금흐름,-171.0,-91.0,-10.0,38.0,114.0,,,
재무활동현금흐름,200.0,116.0,141.0,-18.0,-205.0,,,
CAPEX,235.0,76.0,29.0,12.0,6.0,,,
FCF,-264.0,-99.0,-164.0,-39.0,92.0,,,
이자발생부채,907.0,1064.0,1118.0,1152.0,979.0,,,
영업이익률,1.21,0.49,1.62,2.45,2.08,,,
순이익률,0.85,-4.26,0.83,-0.02,0.8,,,
ROE(%),3.73,-21.01,4.64,-0.09,4.75,,,
ROA(%),1.24,-5.79,1.17,-0.02,1.16,,,
부채비율,206.89,291.33,301.7,335.18,283.55,,,
자본유보율,150.85,101.54,109.01,107.69,119.91,,,
EPS(원),432.0,-2225.0,439.0,-9.0,473.0,,,
PER(배),13.9,-2.83,20.46,-938.98,13.84,,,
BPS(원),12726.0,10076.0,10498.0,10425.0,11032.0,,,
PBR(배),0.47,0.63,0.86,0.79,0.59,,,
현금DPS(원),0.0,0.0,0.0,0.0,150.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,2.29,,,
현금배당성향(%),0.0,0.0,0.0,0.0,29.43,,,
발행주식수(보통주),5477951.0,5477951.0,5477951.0,5477951.0,5477951.0,,,
