주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3994.0,4284.0,4428.0,4438.0,4147.0,4549.0,5074.0,5141.0
영업이익,204.0,316.0,399.0,352.0,216.0,258.0,373.0,389.0
영업이익(발표기준),204.0,316.0,399.0,352.0,216.0,,,
세전계속사업이익,152.0,287.0,399.0,321.0,185.0,244.0,359.0,375.0
당기순이익,104.0,214.0,303.0,244.0,134.0,178.0,262.0,274.0
당기순이익(지배),112.0,195.0,279.0,225.0,108.0,,,
당기순이익(비지배),-8.0,19.0,24.0,19.0,25.0,,,
자산총계,3984.0,4000.0,4295.0,4584.0,4516.0,,,
부채총계,1711.0,1568.0,1621.0,1781.0,1598.0,,,
자본총계,2273.0,2432.0,2674.0,2803.0,2918.0,,,
자본총계(지배),1755.0,1899.0,2121.0,2235.0,2327.0,,,
자본총계(비지배),518.0,533.0,553.0,567.0,592.0,,,
자본금,343.0,343.0,343.0,343.0,343.0,,,
영업활동현금흐름,340.0,251.0,408.0,386.0,169.0,,,
투자활동현금흐름,-21.0,-42.0,-115.0,-220.0,-166.0,,,
재무활동현금흐름,-119.0,-124.0,-54.0,-94.0,-96.0,,,
CAPEX,57.0,79.0,49.0,355.0,222.0,,,
FCF,283.0,172.0,359.0,31.0,-53.0,,,
이자발생부채,669.0,578.0,567.0,562.0,487.0,,,
영업이익률,5.12,7.37,9.01,7.92,5.22,5.67,7.35,7.57
순이익률,2.59,4.99,6.84,5.5,3.22,3.91,5.16,5.33
ROE(%),6.51,10.68,13.9,10.31,4.74,,,
ROA(%),2.64,5.35,7.3,5.5,2.94,,,
부채비율,75.27,64.46,60.64,63.56,54.76,,,
자본유보율,463.93,506.02,570.66,618.72,644.66,,,
EPS(원),163.0,284.0,407.0,328.0,158.0,,,
PER(배),16.33,19.51,20.87,14.23,25.37,,,
BPS(원),2965.0,3208.0,3583.0,3840.0,3997.0,,,
PBR(배),0.9,1.73,2.37,1.21,1.0,,,
현금DPS(원),56.0,68.0,65.0,35.0,25.0,,,
현금배당수익률,2.11,1.23,0.76,0.75,0.63,,,
현금배당성향(%),29.69,20.64,13.78,9.07,13.46,,,
발행주식수(보통주),68560000.0,68560000.0,68560000.0,68560000.0,68560000.0,,,
