주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2017,2018(E),2019(E),2020(E)
매출액,,,,,878.0,,,
영업이익,,,,,-92.0,,,
영업이익(발표기준),,,,,-92.0,,,
세전계속사업이익,,,,,-126.0,,,
당기순이익,,,,,-99.0,,,
당기순이익(지배),,,,,-85.0,,,
당기순이익(비지배),,,,,-13.0,,,
자산총계,,,,,19124.0,,,
부채총계,,,,,11811.0,,,
자본총계,,,,,7314.0,,,
자본총계(지배),,,,,6966.0,,,
자본총계(비지배),,,,,348.0,,,
자본금,,,,,652.0,,,
영업활동현금흐름,,,,,-107.0,,,
투자활동현금흐름,,,,,-87.0,,,
재무활동현금흐름,,,,,84.0,,,
CAPEX,,,,,85.0,,,
FCF,,,,,-192.0,,,
이자발생부채,,,,,8882.0,,,
영업이익률,,,,,-10.45,,,
순이익률,,,,,-11.25,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,161.49,,,
자본유보율,,,,,1010.43,,,
EPS(원),,,,,-655.0,,,
PER(배),,,,,,,,
BPS(원),,,,,53425.0,,,
PBR(배),,,,,0.0,,,
현금DPS(원),,,,,,200.0,200.0,200.0
현금배당수익률,,,,,,0.23,0.23,0.23
현금배당성향(%),,,,,,,,
발행주식수(보통주),,,,,,,,
