주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,722.0,709.0,663.0,631.0,660.0,,,
영업이익,112.0,158.0,176.0,172.0,177.0,,,
영업이익(발표기준),112.0,158.0,176.0,172.0,177.0,,,
세전계속사업이익,116.0,165.0,179.0,178.0,188.0,,,
당기순이익,91.0,129.0,146.0,145.0,154.0,,,
당기순이익(지배),91.0,129.0,146.0,145.0,154.0,,,
당기순이익(비지배),,,,,,,,
자산총계,603.0,743.0,890.0,1009.0,1120.0,,,
부채총계,119.0,134.0,137.0,130.0,145.0,,,
자본총계,484.0,609.0,753.0,879.0,975.0,,,
자본총계(지배),484.0,609.0,753.0,879.0,975.0,,,
자본총계(비지배),,,,,,,,
자본금,6.0,6.0,6.0,6.0,6.0,,,
영업활동현금흐름,149.0,130.0,182.0,143.0,161.0,,,
투자활동현금흐름,-51.0,-116.0,-61.0,-163.0,2.0,,,
재무활동현금흐름,-6.0,20.0,2.0,-14.0,-41.0,,,
CAPEX,5.0,4.0,8.0,8.0,10.0,,,
FCF,145.0,126.0,174.0,135.0,150.0,,,
이자발생부채,,23.0,24.0,25.0,41.0,,,
영업이익률,15.5,22.26,26.56,27.22,26.76,,,
순이익률,12.61,18.16,21.95,22.93,23.29,,,
ROE(%),20.58,23.59,21.39,17.73,16.58,,,
ROA(%),16.49,19.15,17.84,15.23,14.44,,,
부채비율,24.6,22.04,18.25,14.77,14.85,,,
자본유보율,7692.52,9717.67,12010.24,14237.38,16426.55,,,
EPS(원),7240.0,10241.0,11578.0,11500.0,12222.0,,,
PER(배),5.35,6.3,5.74,6.31,6.79,,,
BPS(원),38962.0,49272.0,60945.0,72394.0,84110.0,,,
PBR(배),0.99,1.31,1.09,1.0,0.99,,,
현금DPS(원),0.0,0.0,0.0,1500.0,1500.0,,,
현금배당수익률,0.0,0.0,0.0,2.07,1.81,,,
현금배당성향(%),0.0,0.0,0.0,12.62,11.32,,,
발행주식수(보통주),1257651.0,1257651.0,1257651.0,1257651.0,1257651.0,,,
