주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,10521.0,11067.0,10140.0,6965.0,7533.0,,,
영업이익,483.0,612.0,615.0,522.0,364.0,,,
영업이익(발표기준),132.0,612.0,615.0,558.0,364.0,,,
세전계속사업이익,632.0,791.0,740.0,633.0,686.0,,,
당기순이익,62.0,381.0,615.0,534.0,584.0,,,
당기순이익(지배),68.0,274.0,340.0,296.0,403.0,,,
당기순이익(비지배),-5.0,107.0,275.0,239.0,180.0,,,
자산총계,11802.0,11540.0,11712.0,12099.0,15125.0,,,
부채총계,3209.0,2952.0,2726.0,2736.0,3220.0,,,
자본총계,8593.0,8588.0,8986.0,9362.0,11905.0,,,
자본총계(지배),5166.0,5378.0,5570.0,5779.0,6127.0,,,
자본총계(비지배),3427.0,3210.0,3416.0,3583.0,5777.0,,,
자본금,211.0,211.0,211.0,211.0,211.0,,,
영업활동현금흐름,423.0,930.0,607.0,992.0,622.0,,,
투자활동현금흐름,-435.0,-1250.0,-760.0,-356.0,-282.0,,,
재무활동현금흐름,-350.0,457.0,-28.0,-206.0,-582.0,,,
CAPEX,410.0,1226.0,654.0,504.0,361.0,,,
FCF,13.0,-296.0,-46.0,488.0,261.0,,,
이자발생부채,1410.0,1442.0,1559.0,1516.0,1013.0,,,
영업이익률,4.59,5.53,6.07,7.5,4.84,,,
순이익률,0.59,3.44,6.07,7.67,7.75,,,
ROE(%),1.31,5.2,6.21,5.21,6.78,,,
ROA(%),0.52,3.26,5.29,4.49,4.29,,,
부채비율,37.35,34.38,30.34,29.23,27.05,,,
자본유보율,2333.52,2409.05,2529.21,2626.73,2775.88,,,
EPS(원),1605.0,6493.0,8050.0,7000.0,9548.0,,,
PER(배),27.6,11.5,7.37,9.4,6.86,,,
BPS(원),126431.0,131613.0,136315.0,141449.0,149964.0,,,
PBR(배),0.35,0.57,0.44,0.47,0.44,,,
현금DPS(원),2050.0,2100.0,2100.0,2100.0,3850.0,,,
현금배당수익률,4.63,2.81,3.54,3.19,5.88,,,
현금배당성향(%),123.54,31.28,25.23,29.01,39.0,,,
발행주식수(보통주),4224646.0,4224646.0,4224646.0,4224646.0,4224646.0,,,
