주요재무정보,2013,2014,2015,2016,2017,2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1897.0,1982.0,1819.0,1986.0,1743.0,,,
영업이익,93.0,80.0,74.0,266.0,246.0,,,
영업이익(발표기준),93.0,80.0,74.0,266.0,246.0,,,
세전계속사업이익,134.0,100.0,100.0,287.0,293.0,,,
당기순이익,110.0,79.0,75.0,216.0,220.0,,,
당기순이익(지배),110.0,79.0,75.0,216.0,220.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1930.0,2037.0,1969.0,2266.0,2447.0,,,
부채총계,415.0,333.0,197.0,215.0,191.0,,,
자본총계,1515.0,1704.0,1771.0,2052.0,2257.0,,,
자본총계(지배),1515.0,1704.0,1771.0,2052.0,2257.0,,,
자본총계(비지배),,,,,,,,
자본금,342.0,342.0,342.0,342.0,342.0,,,
영업활동현금흐름,130.0,-73.0,233.0,203.0,325.0,,,
투자활동현금흐름,-127.0,76.0,-135.0,-117.0,-344.0,,,
재무활동현금흐름,21.0,-89.0,-31.0,-21.0,-34.0,,,
CAPEX,18.0,35.0,28.0,38.0,58.0,,,
FCF,112.0,-108.0,205.0,165.0,267.0,,,
이자발생부채,228.0,139.0,23.0,2.0,3.0,,,
영업이익률,4.92,4.06,4.07,13.39,14.09,,,
순이익률,5.8,3.97,4.11,10.9,12.63,,,
ROE(%),7.56,4.89,4.3,11.32,10.22,,,
ROA(%),5.92,3.97,3.74,10.22,9.34,,,
부채비율,27.42,19.57,11.15,10.46,8.45,,,
자본유보율,383.36,403.54,444.21,506.37,569.96,,,
EPS(원),1656.0,1184.0,1125.0,3254.0,3312.0,,,
PER(배),23.0,113.22,37.25,13.11,12.35,,,
BPS(원),42035.0,47277.0,48225.0,55864.0,62747.0,,,
PBR(배),0.91,2.83,0.87,0.76,0.65,,,
현금DPS(원),0.0,0.0,0.0,100.0,,,,
현금배당수익률,0.0,0.0,0.0,0.23,,,,
현금배당성향(%),0.0,0.0,0.0,1.7,0.0,,,
발행주식수(보통주),6649138.0,6649138.0,6649138.0,6649138.0,6649138.0,,,
