주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3562.0,7447.0,9879.0,10516.0,11387.0,12884.0,13774.0,14862.0
영업이익,529.0,835.0,929.0,994.0,967.0,1172.0,1267.0,1370.0
영업이익(발표기준),529.0,835.0,929.0,994.0,967.0,,,
세전계속사업이익,901.0,1092.0,1075.0,1095.0,1045.0,1289.0,1392.0,1501.0
당기순이익,743.0,838.0,780.0,780.0,757.0,945.0,1029.0,1112.0
당기순이익(지배),743.0,819.0,700.0,653.0,615.0,791.0,865.0,938.0
당기순이익(비지배),,19.0,80.0,126.0,142.0,,,
자산총계,7020.0,11742.0,14305.0,16751.0,16265.0,18282.0,19680.0,21184.0
부채총계,3584.0,7469.0,8069.0,9968.0,9409.0,10774.0,11463.0,12199.0
자본총계,3436.0,4273.0,6236.0,6783.0,6856.0,7507.0,8219.0,8985.0
자본총계(지배),3436.0,4153.0,6049.0,6546.0,6723.0,7258.0,7835.0,8456.0
자본총계(비지배),,120.0,187.0,237.0,133.0,,,
자본금,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
영업활동현금흐름,358.0,1092.0,683.0,1143.0,1155.0,945.0,1084.0,1093.0
투자활동현금흐름,-227.0,263.0,-1667.0,-1057.0,350.0,-242.0,-309.0,-303.0
재무활동현금흐름,-72.0,-70.0,1212.0,-252.0,-316.0,-223.0,-256.0,-282.0
CAPEX,61.0,25.0,143.0,119.0,88.0,88.0,99.0,108.0
FCF,297.0,1067.0,540.0,1024.0,1067.0,915.0,958.0,1015.0
이자발생부채,,,,,0.0,,,
영업이익률,14.85,11.21,9.41,9.46,8.49,9.1,9.2,9.22
순이익률,20.85,11.26,7.9,7.41,6.64,7.33,7.47,7.48
ROE(%),23.84,21.59,13.73,10.38,9.27,11.32,11.47,11.52
ROA(%),11.16,8.13,5.99,5.02,4.58,5.47,5.42,5.44
부채비율,104.33,174.77,129.4,146.97,137.24,143.52,139.47,135.78
자본유보율,3813.48,4625.33,6057.86,6516.55,6930.65,,,
EPS(원),4126.0,4551.0,3696.0,3267.0,3074.0,3956.0,4327.0,4692.0
PER(배),,,18.94,17.48,23.81,14.76,13.5,12.45
BPS(원),19087.0,23072.0,30246.0,32728.0,33615.0,36292.0,39174.0,42280.0
PBR(배),0.0,0.0,2.31,1.74,2.18,1.61,1.49,1.38
현금DPS(원),400.0,700.0,900.0,950.0,1000.0,1244.0,1369.0,1483.0
현금배당수익률,,,1.29,1.66,1.37,2.13,2.34,2.54
현금배당성향(%),9.69,15.38,25.71,29.07,32.53,0.31,0.32,0.32
발행주식수(보통주),18000000.0,18000000.0,20000000.0,20000000.0,20000000.0,,,
