주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2449.0,1842.0,1656.0,1402.0,1461.0,,,
영업이익,25.0,21.0,30.0,26.0,13.0,,,
영업이익(발표기준),25.0,21.0,30.0,26.0,13.0,,,
세전계속사업이익,44.0,40.0,1.0,40.0,29.0,,,
당기순이익,35.0,31.0,1.0,32.0,23.0,,,
당기순이익(지배),35.0,31.0,1.0,32.0,23.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1378.0,1259.0,1202.0,1215.0,1297.0,,,
부채총계,311.0,186.0,129.0,114.0,172.0,,,
자본총계,1067.0,1073.0,1073.0,1101.0,1125.0,,,
자본총계(지배),1067.0,1073.0,1073.0,1101.0,1125.0,,,
자본총계(비지배),,,,,,,,
자본금,100.0,100.0,100.0,100.0,100.0,,,
영업활동현금흐름,97.0,148.0,147.0,38.0,-79.0,,,
투자활동현금흐름,12.0,-12.0,-102.0,-147.0,10.0,,,
재무활동현금흐름,-15.0,-15.0,-15.0,-15.0,-15.0,,,
CAPEX,0.0,11.0,1.0,1.0,,,,
FCF,97.0,137.0,146.0,37.0,-79.0,,,
이자발생부채,,,,,,,,
영업이익률,1.02,1.15,1.83,1.84,0.89,,,
순이익률,1.42,1.68,0.06,2.26,1.59,,,
ROE(%),3.28,2.89,0.1,2.91,2.08,,,
ROA(%),2.5,2.34,0.09,2.62,1.85,,,
부채비율,29.18,17.3,12.0,10.35,15.26,,,
자본유보율,973.44,986.64,972.78,989.09,1000.09,,,
EPS(원),173.0,154.0,5.0,158.0,116.0,,,
PER(배),11.57,14.05,543.0,19.33,24.07,,,
BPS(원),5334.0,5365.0,5367.0,5507.0,5626.0,,,
PBR(배),0.38,0.4,0.53,0.56,0.5,,,
현금DPS(원),75.0,75.0,75.0,75.0,75.0,,,
현금배당수익률,3.74,3.46,2.63,2.45,2.69,,,
현금배당성향(%),43.27,48.56,1426.44,47.37,64.7,,,
발행주식수(보통주),20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,
