주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1260.0,1248.0,1250.0,1214.0,1174.0,,,
영업이익,92.0,84.0,62.0,76.0,50.0,,,
영업이익(발표기준),86.0,84.0,62.0,76.0,50.0,,,
세전계속사업이익,77.0,83.0,63.0,70.0,52.0,,,
당기순이익,59.0,57.0,49.0,54.0,41.0,,,
당기순이익(지배),59.0,57.0,49.0,54.0,41.0,,,
당기순이익(비지배),,,,,,,,
자산총계,695.0,750.0,787.0,806.0,826.0,,,
부채총계,150.0,148.0,137.0,119.0,126.0,,,
자본총계,545.0,602.0,650.0,686.0,700.0,,,
자본총계(지배),545.0,602.0,650.0,686.0,700.0,,,
자본총계(비지배),,,,,,,,
자본금,189.0,189.0,189.0,189.0,189.0,,,
영업활동현금흐름,126.0,129.0,63.0,64.0,79.0,,,
투자활동현금흐름,-98.0,-38.0,-89.0,8.0,-106.0,,,
재무활동현금흐름,-23.0,,,-18.0,-27.0,,,
CAPEX,61.0,58.0,38.0,38.0,32.0,,,
FCF,64.0,71.0,24.0,26.0,48.0,,,
이자발생부채,5.0,5.0,5.0,5.0,5.0,,,
영업이익률,7.28,6.74,4.99,6.24,4.22,,,
순이익률,4.71,4.56,3.89,4.48,3.51,,,
ROE(%),11.49,9.92,7.77,8.14,5.95,,,
ROA(%),8.9,7.87,6.33,6.83,5.05,,,
부채비율,27.61,24.67,21.05,17.4,18.02,,,
자본유보율,188.52,218.63,244.38,263.5,270.82,,,
EPS(원),162.0,156.0,133.0,149.0,113.0,,,
PER(배),12.63,17.01,31.14,45.99,43.9,,,
BPS(원),1490.0,1645.0,1778.0,1877.0,1915.0,,,
PBR(배),1.38,1.61,2.33,3.64,2.59,,,
현금DPS(원),0.0,0.0,50.0,75.0,100.0,,,
현금배당수익률,0.0,0.0,1.21,1.1,2.02,,,
현금배당성향(%),0.0,0.0,37.59,50.42,88.66,,,
발행주식수(보통주),36571255.0,36571255.0,36571255.0,36571255.0,36571255.0,,,
