주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,4652.0,6723.0,6223.0,6260.0,6020.0,,,
영업이익,135.0,19.0,128.0,182.0,-367.0,,,
영업이익(발표기준),135.0,19.0,128.0,182.0,-367.0,,,
세전계속사업이익,311.0,-33.0,95.0,207.0,-501.0,,,
당기순이익,223.0,-48.0,49.0,156.0,-411.0,,,
당기순이익(지배),213.0,-64.0,46.0,151.0,-338.0,,,
당기순이익(비지배),10.0,16.0,3.0,5.0,-73.0,,,
자산총계,4853.0,5164.0,5707.0,6310.0,5491.0,,,
부채총계,3046.0,3430.0,3883.0,4393.0,3674.0,,,
자본총계,1807.0,1734.0,1824.0,1917.0,1817.0,,,
자본총계(지배),1719.0,1639.0,1702.0,1790.0,1758.0,,,
자본총계(비지배),88.0,96.0,122.0,127.0,59.0,,,
자본금,132.0,132.0,132.0,132.0,267.0,,,
영업활동현금흐름,68.0,151.0,377.0,62.0,713.0,,,
투자활동현금흐름,-710.0,-487.0,-699.0,-652.0,-504.0,,,
재무활동현금흐름,788.0,267.0,498.0,460.0,-274.0,,,
CAPEX,597.0,462.0,706.0,666.0,618.0,,,
FCF,-529.0,-310.0,-329.0,-604.0,96.0,,,
이자발생부채,1155.0,1409.0,1903.0,2338.0,1741.0,,,
영업이익률,2.91,0.28,2.07,2.9,-6.1,,,
순이익률,4.8,-0.71,0.78,2.5,-6.83,,,
ROE(%),12.98,-3.79,2.74,8.63,-19.04,,,
ROA(%),5.58,-0.96,0.9,2.6,-6.97,,,
부채비율,168.54,197.73,212.89,229.18,202.17,,,
자본유보율,1249.17,1205.36,1247.34,1358.16,609.25,,,
EPS(원),683.0,-204.0,147.0,483.0,-951.0,,,
PER(배),2.88,-9.76,14.8,4.96,-1.12,,,
BPS(원),5509.0,5250.0,5452.0,5734.0,3298.0,,,
PBR(배),0.36,0.38,0.4,0.42,0.32,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),,,,0.0,0.0,,,
발행주식수(보통주),31212528.0,31212528.0,31212528.0,31212528.0,53312072.0,,,
