주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2430.0,2516.0,2199.0,2436.0,2537.0,,,
영업이익,117.0,142.0,30.0,41.0,35.0,,,
영업이익(발표기준),117.0,142.0,30.0,41.0,35.0,,,
세전계속사업이익,122.0,152.0,39.0,34.0,29.0,,,
당기순이익,107.0,130.0,35.0,29.0,25.0,,,
당기순이익(지배),107.0,130.0,35.0,29.0,25.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1621.0,1964.0,2186.0,2064.0,1953.0,,,
부채총계,558.0,806.0,1026.0,909.0,855.0,,,
자본총계,1062.0,1158.0,1159.0,1155.0,1097.0,,,
자본총계(지배),1062.0,1158.0,1159.0,1155.0,1097.0,,,
자본총계(비지배),,,,,,,,
자본금,100.0,100.0,100.0,100.0,100.0,,,
영업활동현금흐름,304.0,345.0,154.0,154.0,137.0,,,
투자활동현금흐름,-218.0,-491.0,-344.0,-87.0,92.0,,,
재무활동현금흐름,-120.0,142.0,200.0,-41.0,-124.0,,,
CAPEX,190.0,541.0,381.0,129.0,68.0,,,
FCF,114.0,-196.0,-227.0,25.0,68.0,,,
이자발생부채,140.0,312.0,545.0,535.0,493.0,,,
영업이익률,4.82,5.65,1.39,1.67,1.39,,,
순이익률,4.4,5.16,1.61,1.18,1.0,,,
ROE(%),10.45,11.69,3.05,2.48,2.24,,,
ROA(%),6.67,7.24,1.7,1.35,1.26,,,
부채비율,52.58,69.57,88.52,78.67,77.94,,,
자본유보율,962.19,1053.89,1058.63,1053.04,997.42,,,
EPS(원),535.0,649.0,177.0,144.0,126.0,,,
PER(배),8.73,9.17,23.3,32.32,34.29,,,
BPS(원),5311.0,5791.0,5797.0,5775.0,5487.0,,,
PBR(배),0.88,1.03,0.71,0.8,0.79,,,
현금DPS(원),150.0,160.0,160.0,160.0,410.0,,,
현금배당수익률,3.21,2.69,3.88,3.44,9.48,,,
현금배당성향(%),28.04,24.65,90.49,111.34,325.06,,,
발행주식수(보통주),20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,
