주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,307.0,219.0,243.0,297.0,350.0,,,
영업이익,-60.0,-36.0,5.0,43.0,67.0,,,
영업이익(발표기준),-60.0,-36.0,5.0,43.0,67.0,,,
세전계속사업이익,-181.0,-61.0,-24.0,22.0,40.0,,,
당기순이익,-181.0,40.0,-24.0,21.0,38.0,,,
당기순이익(지배),-148.0,40.0,-24.0,21.0,38.0,,,
당기순이익(비지배),-33.0,,,,,,,
자산총계,2044.0,1775.0,2180.0,2202.0,2331.0,,,
부채총계,1379.0,851.0,917.0,922.0,1014.0,,,
자본총계,665.0,925.0,1263.0,1280.0,1317.0,,,
자본총계(지배),798.0,925.0,1263.0,1280.0,1317.0,,,
자본총계(비지배),-133.0,,,,,,,
자본금,847.0,872.0,905.0,905.0,905.0,,,
영업활동현금흐름,-25.0,-54.0,21.0,62.0,83.0,,,
투자활동현금흐름,-79.0,-25.0,-63.0,-131.0,-166.0,,,
재무활동현금흐름,66.0,100.0,85.0,-8.0,80.0,,,
CAPEX,139.0,39.0,25.0,36.0,4.0,,,
FCF,-163.0,-93.0,-4.0,26.0,79.0,,,
이자발생부채,730.0,572.0,558.0,550.0,630.0,,,
영업이익률,-19.37,-16.34,2.12,14.42,19.09,,,
순이익률,-58.86,18.14,-10.04,7.0,10.73,,,
ROE(%),-17.98,4.3,-2.23,1.63,2.89,,,
ROA(%),-8.77,2.2,-1.23,0.95,1.66,,,
부채비율,207.34,91.97,72.59,72.0,76.98,,,
자본유보율,-5.76,6.04,10.58,12.47,16.53,,,
EPS(원),-182.0,47.0,-28.0,23.0,42.0,,,
PER(배),-4.39,33.57,-94.91,108.31,41.78,,,
BPS(원),942.0,1060.0,1396.0,1415.0,1455.0,,,
PBR(배),0.85,1.48,1.89,1.76,1.19,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),,0.0,0.0,0.0,,,,
발행주식수(보통주),84687752.0,87225824.0,90509897.0,90509897.0,90509897.0,,,
