주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3867.0,4475.0,3963.0,4152.0,3387.0,,,
영업이익,-46.0,48.0,-126.0,74.0,-12.0,,,
영업이익(발표기준),-45.0,48.0,-126.0,74.0,-12.0,,,
세전계속사업이익,-175.0,-26.0,-526.0,-137.0,-185.0,,,
당기순이익,-181.0,-46.0,-564.0,-174.0,-202.0,,,
당기순이익(지배),-212.0,-58.0,-476.0,-211.0,-185.0,,,
당기순이익(비지배),31.0,12.0,-88.0,37.0,-17.0,,,
자산총계,5327.0,5157.0,4756.0,4605.0,4099.0,,,
부채총계,3467.0,3210.0,2946.0,3004.0,2716.0,,,
자본총계,1859.0,1946.0,1810.0,1601.0,1383.0,,,
자본총계(지배),1566.0,1704.0,1276.0,1023.0,623.0,,,
자본총계(비지배),294.0,242.0,534.0,579.0,759.0,,,
자본금,346.0,346.0,346.0,346.0,346.0,,,
영업활동현금흐름,-210.0,-72.0,-166.0,238.0,142.0,,,
투자활동현금흐름,-161.0,-94.0,-123.0,-81.0,-15.0,,,
재무활동현금흐름,219.0,-90.0,275.0,-127.0,-116.0,,,
CAPEX,219.0,208.0,179.0,73.0,33.0,,,
FCF,-429.0,-280.0,-345.0,165.0,110.0,,,
이자발생부채,2645.0,2628.0,2465.0,2347.0,2219.0,,,
영업이익률,-1.18,1.08,-3.18,1.78,-0.36,,,
순이익률,-4.67,-1.03,-14.22,-4.2,-5.96,,,
ROE(%),-12.22,-3.57,-31.94,-18.39,-22.42,,,
ROA(%),-3.47,-0.88,-11.37,-3.72,-4.64,,,
부채비율,186.48,164.95,162.79,187.56,196.45,,,
자본유보율,432.71,415.28,273.9,211.4,159.34,,,
EPS(원),-3032.0,-837.0,-6822.0,-3030.0,-2645.0,,,
PER(배),-8.57,-21.39,-1.92,-3.11,-2.7,,,
BPS(원),25845.0,27880.0,20878.0,16733.0,10200.0,,,
PBR(배),1.01,0.64,0.63,0.56,0.7,,,
현금DPS(원),99.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.38,0.0,0.0,0.0,0.0,,,
현금배당성향(%),-2.84,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),6976568.0,6976568.0,6976568.0,6976568.0,6976568.0,,,
