주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,380.0,394.0,397.0,420.0,527.0,,,
영업이익,11.0,1.0,-25.0,-26.0,10.0,,,
영업이익(발표기준),11.0,1.0,-25.0,-26.0,10.0,,,
세전계속사업이익,5.0,-4.0,-25.0,-33.0,2.0,,,
당기순이익,3.0,-6.0,-26.0,-22.0,2.0,,,
당기순이익(지배),3.0,-6.0,-26.0,-22.0,2.0,,,
당기순이익(비지배),,,,,,,,
자산총계,824.0,814.0,803.0,783.0,778.0,,,
부채총계,264.0,261.0,279.0,280.0,270.0,,,
자본총계,559.0,553.0,524.0,503.0,507.0,,,
자본총계(지배),559.0,553.0,524.0,503.0,507.0,,,
자본총계(비지배),,,,,,,,
자본금,387.0,387.0,387.0,387.0,387.0,,,
영업활동현금흐름,12.0,26.0,-13.0,-9.0,-8.0,,,
투자활동현금흐름,-62.0,-9.0,11.0,48.0,-2.0,,,
재무활동현금흐름,41.0,-6.0,-4.0,-4.0,-5.0,,,
CAPEX,58.0,12.0,6.0,16.0,4.0,,,
FCF,-46.0,14.0,-19.0,-24.0,-12.0,,,
이자발생부채,122.0,123.0,122.0,122.0,117.0,,,
영업이익률,2.84,0.23,-6.21,-6.2,1.85,,,
순이익률,0.86,-1.44,-6.52,-5.33,0.32,,,
ROE(%),0.59,-1.02,-4.81,-4.37,0.34,,,
ROA(%),0.41,-0.69,-3.2,-2.83,0.22,,,
부채비율,47.3,47.22,53.31,55.57,53.3,,,
자본유보율,45.31,43.69,36.1,30.71,31.78,,,
EPS(원),4.0,-7.0,-33.0,-29.0,2.0,,,
PER(배),221.67,-167.62,-38.61,-47.83,565.88,,,
BPS(원),722.0,714.0,676.0,650.0,655.0,,,
PBR(배),1.29,1.72,1.91,2.13,1.89,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),77456610.0,77456610.0,77456610.0,77456610.0,77456610.0,,,
