주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,912.0,924.0,871.0,772.0,721.0,,,
영업이익,-22.0,-8.0,1.0,-44.0,-29.0,,,
영업이익(발표기준),-22.0,-8.0,1.0,-44.0,-29.0,,,
세전계속사업이익,-22.0,-15.0,-30.0,-55.0,-54.0,,,
당기순이익,-22.0,-15.0,-30.0,-55.0,-54.0,,,
당기순이익(지배),-22.0,-15.0,-30.0,-55.0,-54.0,,,
당기순이익(비지배),,,,,,,,
자산총계,786.0,729.0,643.0,604.0,534.0,,,
부채총계,610.0,568.0,504.0,427.0,338.0,,,
자본총계,176.0,161.0,139.0,177.0,196.0,,,
자본총계(지배),176.0,161.0,139.0,177.0,196.0,,,
자본총계(비지배),,,,,,,,
자본금,139.0,139.0,139.0,220.0,251.0,,,
영업활동현금흐름,-11.0,14.0,6.0,29.0,-37.0,,,
투자활동현금흐름,-66.0,-57.0,8.0,-3.0,-12.0,,,
재무활동현금흐름,80.0,21.0,-17.0,-13.0,43.0,,,
CAPEX,108.0,54.0,20.0,16.0,21.0,,,
FCF,-120.0,-40.0,-14.0,13.0,-58.0,,,
이자발생부채,315.0,336.0,327.0,219.0,202.0,,,
영업이익률,-2.36,-0.87,0.1,-5.75,-4.0,,,
순이익률,-2.41,-1.68,-3.46,-7.11,-7.53,,,
ROE(%),-12.15,-9.17,-20.11,-34.8,-29.09,,,
ROA(%),-3.08,-2.04,-4.4,-8.81,-9.54,,,
부채비율,346.4,351.87,363.73,241.13,172.18,,,
자본유보율,27.36,16.7,0.31,-19.55,-21.53,,,
EPS(원),-69.0,-48.0,-94.0,-163.0,-114.0,,,
PER(배),-7.47,-9.35,-7.52,-6.46,-5.77,,,
BPS(원),550.0,504.0,433.0,402.0,392.0,,,
PBR(배),0.93,0.9,1.63,2.63,1.68,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),32032488.0,32032488.0,32032488.0,44073947.0,45004179.0,,,
