주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,8211.0,7471.0,6845.0,6634.0,7389.0,7662.0,7982.0,8070.0
영업이익,13.0,125.0,651.0,530.0,461.0,306.0,302.0,277.0
영업이익(발표기준),13.0,125.0,651.0,530.0,461.0,,,
세전계속사업이익,123.0,225.0,688.0,638.0,-581.0,420.0,393.0,370.0
당기순이익,94.0,180.0,536.0,465.0,-434.0,319.0,299.0,283.0
당기순이익(지배),94.0,180.0,536.0,465.0,-434.0,319.0,299.0,283.0
당기순이익(비지배),,,,,,,,
자산총계,9072.0,9020.0,8966.0,9418.0,8859.0,9370.0,9460.0,9577.0
부채총계,2205.0,2111.0,1678.0,1728.0,1676.0,1993.0,1980.0,2010.0
자본총계,6867.0,6908.0,7288.0,7689.0,7183.0,7373.0,7477.0,7563.0
자본총계(지배),6867.0,6908.0,7288.0,7689.0,7183.0,7373.0,7477.0,7563.0
자본총계(비지배),,,,,,,,
자본금,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0
영업활동현금흐름,525.0,369.0,1047.0,780.0,942.0,200.0,523.0,450.0
투자활동현금흐름,-656.0,-246.0,-884.0,-383.0,-447.0,-157.0,-200.0,-200.0
재무활동현금흐름,-302.0,6.0,-215.0,-83.0,-83.0,-80.0,-190.0,-190.0
CAPEX,234.0,136.0,308.0,108.0,90.0,93.0,100.0,100.0
FCF,291.0,233.0,740.0,672.0,852.0,150.0,380.0,210.0
이자발생부채,39.0,132.0,,,,,,
영업이익률,0.16,1.67,9.51,8.0,6.24,3.99,3.78,3.43
순이익률,1.15,2.41,7.83,7.02,-5.87,4.16,3.75,3.51
ROE(%),1.37,2.61,7.55,6.22,-5.83,4.38,4.03,3.77
ROA(%),1.02,1.99,5.96,5.06,-4.75,3.5,3.18,2.98
부채비율,32.1,30.56,23.02,22.48,23.33,27.03,26.48,26.58
자본유보율,1367.13,1381.81,1477.36,1564.52,1454.1,,,
EPS(원),204.0,391.0,1164.0,1011.0,-942.0,692.0,649.0,615.0
PER(배),24.06,14.97,6.95,7.33,-8.02,9.34,9.95,10.5
BPS(원),14918.0,15007.0,15832.0,16704.0,15603.0,16017.0,16242.0,16430.0
PBR(배),0.33,0.39,0.51,0.44,0.48,0.4,0.4,0.39
현금DPS(원),180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
현금배당수익률,0.73,0.62,0.44,0.49,0.48,2.79,2.79,2.79
현금배당성향(%),88.17,46.06,15.45,17.8,-19.1,0.26,0.28,0.29
발행주식수(보통주),46050000.0,46050000.0,46050000.0,46050000.0,46050000.0,,,
