주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2171.0,2199.0,2436.0,2316.0,2895.0,3314.0,3494.0,
영업이익,179.0,204.0,237.0,168.0,230.0,259.0,276.0,
영업이익(발표기준),179.0,204.0,237.0,168.0,230.0,,,
세전계속사업이익,294.0,318.0,388.0,276.0,284.0,,,
당기순이익,208.0,248.0,300.0,232.0,221.0,246.0,261.0,
당기순이익(지배),208.0,248.0,300.0,232.0,221.0,246.0,261.0,
당기순이익(비지배),,,,,,,,
자산총계,3487.0,3747.0,4015.0,4165.0,4368.0,,,
부채총계,394.0,458.0,481.0,483.0,524.0,,,
자본총계,3093.0,3289.0,3534.0,3682.0,3844.0,,,
자본총계(지배),3093.0,3289.0,3534.0,3682.0,3844.0,,,
자본총계(비지배),,,,,,,,
자본금,143.0,143.0,143.0,143.0,143.0,,,
영업활동현금흐름,255.0,249.0,364.0,238.0,221.0,,,
투자활동현금흐름,-619.0,63.0,-14.0,-309.0,-79.0,,,
재무활동현금흐름,-155.0,-59.0,-57.0,-91.0,-73.0,,,
CAPEX,10.0,21.0,21.0,22.0,53.0,,,
FCF,245.0,228.0,343.0,217.0,168.0,,,
이자발생부채,,,,,,,,
영업이익률,8.25,9.28,9.73,7.26,7.95,7.81,7.9,
순이익률,9.56,11.25,12.31,10.01,7.62,7.42,7.47,
ROE(%),6.77,7.76,8.79,6.43,5.86,,,
ROA(%),6.01,6.84,7.73,5.67,5.17,,,
부채비율,12.73,13.93,13.61,13.13,13.63,,,
자본유보율,2440.6,2565.02,2731.22,2847.7,2954.19,,,
EPS(원),1804.0,2152.0,2608.0,2016.0,1918.0,2139.0,2270.0,
PER(배),17.13,14.61,14.53,16.37,17.2,14.21,13.39,
BPS(원),32664.0,34646.0,37103.0,38937.0,40757.0,,,
PBR(배),0.95,0.91,1.02,0.85,0.81,,,
현금DPS(원),700.0,700.0,700.0,700.0,800.0,,,
현금배당수익률,2.27,2.23,1.85,2.12,2.42,,,
현금배당성향(%),31.94,26.85,22.23,28.54,34.2,,,
발행주식수(보통주),11500000.0,11500000.0,11500000.0,11500000.0,11500000.0,,,
